	term	category	en	vrefs
0	Αἰγύπτιος	9.7.2.1 - Names of countries	Egyptian	ACT 7:22
1	Αἰγύπτιος	9.7.2.1 - Names of countries	Egyptian	ACT 7:24
2	Αἰγύπτιος	9.7.2.1 - Names of countries	Egyptian	ACT 7:28
3	Αἰγύπτιος	9.7.2.1 - Names of countries	Egyptian	ACT 21:38
4	Αἰγύπτιος	9.7.2.1 - Names of countries	Egyptian	HEB 11:29
5	Αἰθίοψ	9.7.2.1 - Names of countries	Ethiopian	ACT 8:27
6	Αἰθίοψ	9.7.2.1 - Names of countries	Ethiopian	ACT 8:27
7	Αἰνέας	9.7.1.1 - Personal names	Aeneas	ACT 9:33
8	Αἰνέας	9.7.1.1 - Personal names	Aeneas	ACT 9:34
9	Αἰνών	9.7.2.2 - Names of regions	Aenon	JHN 3:23
10	Αἴγυπτος	9.7.2.1 - Names of countries	Egypt	MAT 2:13
11	Αἴγυπτος	9.7.2.1 - Names of countries	Egypt	MAT 2:14
12	Αἴγυπτος	9.7.2.1 - Names of countries	Egypt	MAT 2:15
13	Αἴγυπτος	9.7.2.1 - Names of countries	Egypt	MAT 2:19
14	Αἴγυπτος	9.7.2.1 - Names of countries	Egypt	ACT 2:10
15	Αἴγυπτος	9.7.2.1 - Names of countries	Egypt	ACT 7:9
16	Αἴγυπτος	9.7.2.1 - Names of countries	Egypt	ACT 7:10
17	Αἴγυπτος	9.7.2.1 - Names of countries	Egypt	ACT 7:10
18	Αἴγυπτος	9.7.2.1 - Names of countries	Egypt	ACT 7:11
19	Αἴγυπτος	9.7.2.1 - Names of countries	Egypt	ACT 7:12
20	Αἴγυπτος	9.7.2.1 - Names of countries	Egypt	ACT 7:15
21	Αἴγυπτος	9.7.2.1 - Names of countries	Egypt	ACT 7:17
22	Αἴγυπτος	9.7.2.1 - Names of countries	Egypt	ACT 7:18
23	Αἴγυπτος	9.7.2.1 - Names of countries	Egypt	ACT 7:34
24	Αἴγυπτος	9.7.2.1 - Names of countries	Egypt	ACT 7:34
25	Αἴγυπτος	9.7.2.1 - Names of countries	Egypt	ACT 7:36
26	Αἴγυπτος	9.7.2.1 - Names of countries	Egypt	ACT 7:39
27	Αἴγυπτος	9.7.2.1 - Names of countries	Egypt	ACT 7:40
28	Αἴγυπτος	9.7.2.1 - Names of countries	Egypt	ACT 13:17
29	Αἴγυπτος	9.7.2.1 - Names of countries	Egypt	HEB 3:16
30	Αἴγυπτος	9.7.2.1 - Names of countries	Egypt	HEB 8:9
31	Αἴγυπτος	9.7.2.1 - Names of countries	Egypt	HEB 11:26
32	Αἴγυπτος	9.7.2.1 - Names of countries	Egypt	HEB 11:27
33	Αἴγυπτος	9.7.2.1 - Names of countries	Egypt	JUD 1:5
34	Αἴγυπτος	9.7.2.1 - Names of countries	Egypt	REV 11:8
