	term	domain	fr	vrefs	silnlp_line_number
0	אֲבַגְתָא	PN	Avagta	EST 1:10	12716.0
6	אֲבִי	PN	Avi	2KI 18:2	10030.0
7	אֲבִי	PN	Avièzer	JDG 6:11	6667.0
8	אֲבִי	PN	Avièzer	JDG 6:24	6680.0
9	אֲבִי	PN	Avièzer	JDG 8:32	6753.0
10	אֲבִי־עַלְבוֹן	PN	Avi-Alvôn	2SA 23:31	8687.0
11	אֲבִיאֵל	PN	Aviël	1SA 9:1	7394.0
12	אֲבִיאֵל	PN	Aviël	1SA 14:51	7561.0
13	אֲבִיאֵל	PN	Aviël	1CH 11:32	10709.0
14	אֲבִיאָסָף	PN	Aviasaf	EXO 6:24	1680.0
15	אֲבִיגַיִל	PN	Avigaïl	1SA 25:3	7867.0
16	אֲבִיגַיִל	PN	Avigaïl	1SA 25:14	7878.0
17	אֲבִיגַיִל	PN	Avigaïl	1SA 25:18	7882.0
18	אֲבִיגַיִל	PN	Avigaïl	1SA 25:18	7882.0
19	אֲבִיגַיִל	PN	Avigaïl	1SA 25:23	7887.0
20	אֲבִיגַיִל	PN	Avigaïl	1SA 25:32	7896.0
21	אֲבִיגַיִל	PN	Avigaïl	1SA 25:36	7900.0
22	אֲבִיגַיִל	PN	Avigaïl	1SA 25:39	7903.0
23	אֲבִיגַיִל	PN	Avigaïl	1SA 25:40	7904.0
24	אֲבִיגַיִל	PN	Avigaïl	1SA 25:42	7906.0
25	אֲבִיגַיִל	PN	Avigaïl	1SA 27:3	7936.0
26	אֲבִיגַיִל	PN	Avigaïl	1SA 30:5	7986.0
27	אֲבִיגַיִל	PN	Avigaïl	2SA 2:2	8054.0
28	אֲבִיגַיִל	PN	Avigaïl	2SA 3:3	8087.0
29	אֲבִיגַיִל	PN	Avigaïl	2SA 3:3	8087.0
30	אֲבִיגַיִל	PN	Avigaïl	1CH 3:1	10366.0
31	אֲבִיגַיִל	PN	Avigaïl	2SA 17:25	8477.0
32	אֲבִיגַיִל	PN	Avigaïl	1CH 2:16	10326.0
33	אֲבִיגַיִל	PN	Avigaïl	1CH 2:17	10327.0
34	אֲבִידָן	PN	Avidân	NUM 1:11	3616.0
35	אֲבִידָן	PN	Avidân	NUM 2:22	3681.0
36	אֲבִידָן	PN	Avidân	NUM 7:60	3911.0
37	אֲבִידָן	PN	Avidân	NUM 7:65	3916.0
38	אֲבִידָן	PN	Avidân	NUM 10:24	4013.0
39	אֲבִידָע	PN	Avida	GEN 25:4	663.0
40	אֲבִידָע	PN	Avida	1CH 1:33	10289.0
41	אֲבִיָּה	PN	Aviya	1CH 7:8	10547.0
42	אֲבִיָּה	PN	Abiya	1CH 2:24	10334.0
43	אֲבִיָּה	PN	Aviya	1SA 8:2	7373.0
44	אֲבִיָּה	PN	Aviya	1CH 5:39	10471.0
45	אֲבִיָּה	PN	Aviya	1CH 24:10	11030.0
46	אֲבִיָּה	PN	Abiya	1CH 3:10	10375.0
47	אֲבִיָּה	PN	Abiya	2CH 11:20	11439.0
48	אֲבִיָּה	PN	Abiya	2CH 11:22	11441.0
49	אֲבִיָּה	PN	Abiya	2CH 12:16	11458.0
50	אֲבִיָּה	PN	Abiya	2CH 13:1	11459.0
51	אֲבִיָּה	PN	Abiya	2CH 13:2	11460.0
52	אֲבִיָּה	PN	Abiya	2CH 13:3	11461.0
53	אֲבִיָּה	PN	Abiya	2CH 13:4	11462.0
54	אֲבִיָּה	PN	Abiya	2CH 13:15	11473.0
55	אֲבִיָּה	PN	Abiya	2CH 13:17	11475.0
56	אֲבִיָּה	PN	Abiya	2CH 13:19	11477.0
57	אֲבִיָּה	PN	Abiya	2CH 13:22	11480.0
58	אֲבִיָּה	PN	Abiya	2CH 13:23	11481.0
59	אֲבִיָּה	PN	Aviya	1KI 14:1	9222.0
60	אֲבִיָּה	PN	Aviya	2CH 29:1	11797.0
61	אֲבִיָּה	PN	Aviya	NEH 10:9	12561.0
62	אֲבִיָּה	PN	Aviya	NEH 12:4	12632.0
63	אֲבִיָּה	PN	Aviya	NEH 12:17	12645.0
64	אֲבִיָּהוּ	PN	Abiya	2CH 13:20	11478.0
65	אֲבִיָּהוּ	PN	Abiya	2CH 13:21	11479.0
66	אֲבִיהוּא	PN	Avihou	EXO 6:23	1679.0
67	אֲבִיהוּא	PN	Avihou	EXO 24:1	2179.0
68	אֲבִיהוּא	PN	Avihou	EXO 24:9	2187.0
69	אֲבִיהוּא	PN	Avihou	EXO 28:1	2295.0
70	אֲבִיהוּא	PN	Avihou	LEV 10:1	2979.0
71	אֲבִיהוּא	PN	Avihou	NUM 3:2	3695.0
72	אֲבִיהוּא	PN	Avihou	NUM 3:4	3697.0
73	אֲבִיהוּא	PN	Avihou	NUM 26:60	4551.0
74	אֲבִיהוּא	PN	Avihou	NUM 26:61	4552.0
75	אֲבִיהוּא	PN	Avihou	1CH 5:29	10461.0
76	אֲבִיהוּא	PN	Avihou	1CH 24:1	11021.0
77	אֲבִיהוּא	PN	Avihou	1CH 24:2	11022.0
78	אֲבִיהוּד	PN	père d'Ehoud	1CH 8:3	10582.0
79	אֲבִיהַיִל	PN	Avihaïl	1CH 2:29	10339.0
80	אֲבִיהַיִל	PN	Avihaïl	2CH 11:18	11437.0
81	אֲבִיחַיִל	PN	Avihaïl	NUM 3:35	3728.0
82	אֲבִיחַיִל	PN	Avihaïl	1CH 5:14	10446.0
83	אֲבִיחַיִל	PN	Avihaïl	EST 2:15	12743.0
84	אֲבִיחַיִל	PN	Avihaïl	EST 9:29	12867.0
85	אֲבִיטוּב	PN	Avitouv	1CH 8:11	10590.0
86	אֲבִיטַל	PN	Avital	2SA 3:4	8088.0
87	אֲבִיטַל	PN	Avital	1CH 3:3	10368.0
88	אֲבִיָּם	PN	Abiyam	1KI 14:31	9252.0
89	אֲבִיָּם	PN	Abiyam	1KI 15:1	9253.0
90	אֲבִיָּם	PN	Abiyam	1KI 15:7	9259.0
91	אֲבִיָּם	PN	Abiyam	1KI 15:7	9259.0
92	אֲבִיָּם	PN	Abiyam	1KI 15:8	9260.0
93	אֲבִימָאֵל	PN	Avimaël	GEN 10:28	263.0
94	אֲבִימָאֵל	PN	Avimaël	1CH 1:22	10278.0
95	אֲבִימֶלֶךְ	PN	Abimélek	GEN 20:2	498.0
96	אֲבִימֶלֶךְ	PN	Abimélek	GEN 20:3	499.0
97	אֲבִימֶלֶךְ	PN	Abimélek	GEN 20:4	500.0
98	אֲבִימֶלֶךְ	PN	Abimélek	GEN 20:8	504.0
99	אֲבִימֶלֶךְ	PN	Abimélek	GEN 20:9	505.0
100	אֲבִימֶלֶךְ	PN	Abimélek	GEN 20:10	506.0
101	אֲבִימֶלֶךְ	PN	Abimélek	GEN 20:14	510.0
102	אֲבִימֶלֶךְ	PN	Abimélek	GEN 20:15	511.0
103	אֲבִימֶלֶךְ	PN	Abimélek	GEN 20:17	513.0
104	אֲבִימֶלֶךְ	PN	Abimélek	GEN 20:18	514.0
105	אֲבִימֶלֶךְ	PN	Abimélek	GEN 21:22	536.0
106	אֲבִימֶלֶךְ	PN	Abimélek	GEN 21:25	539.0
107	אֲבִימֶלֶךְ	PN	Abimélek	GEN 21:25	539.0
108	אֲבִימֶלֶךְ	PN	Abimélek	GEN 21:26	540.0
109	אֲבִימֶלֶךְ	PN	Abimélek	GEN 21:27	541.0
110	אֲבִימֶלֶךְ	PN	Abimélek	GEN 21:29	543.0
111	אֲבִימֶלֶךְ	PN	Abimélek	GEN 21:32	546.0
112	אֲבִימֶלֶךְ	PN	Abimélek	GEN 26:1	694.0
113	אֲבִימֶלֶךְ	PN	Abimélek	GEN 26:8	701.0
