	term	domain	category	sense	AR	DC	en	es	fr	id	vrefs
0	אֲבַגְתָא	PN	person		False	False	Abagtha	Abagtá	Avagta	Abagta	['EST 1:10']
1	אֵבֶה	FL	grasses		False	False	papyrus	papiro	papyrus	pandan	['JOB 9:26']
2	אֵבוּס	RE	containers; animal husbandry		False	False	manger	pesebre	mangeoire	palungan	['JOB 39:9', 'PRO 14:4', 'ISA 1:3']
3	אֲבַטִּיחַ	FL	fruits		False	False	melon	melón	melon	semangka	['NUM 11:5']
4	אֲבִי	PN	person		False	False	Abi	Abí	Avi	Abi	['2KI 18:2']
5	אֲבִי	PN	group		False	False	Abiezrite	Abiézer	Avièzer	Abiezer	['JDG 6:11', 'JDG 6:24', 'JDG 8:32']
6	אֲבִי־עַלְבוֹן	PN	person		False	False	Abi-Albon	Abí-albón	Avi-Alvôn	Abialbon	['2SA 23:31']
7	אֲבִיאֵל	PN	person	1	False	False	Abiel	Abiel	Aviël	Abiel	['1SA 9:1', '1SA 14:51']
8	אֲבִיאֵל	PN	person	2	False	False	Abiel	Abiel	Aviël	Abiel	['1CH 11:32']
9	אֲבִיאָסָף	PN	person		False	False	Abiasaph	Abiasaf	Aviasaf	Abiasaf	['EXO 6:24']
10	אֲבִיגַיִל	PN	person	1	False	False	Abigail	Abigail	Avigaïl	Abigail	['1SA 25:3', '1SA 25:14', '1SA 25:18', '1SA 25:18', '1SA 25:23', '1SA 25:32', '1SA 25:36', '1SA 25:39', '1SA 25:40', '1SA 25:42', '1SA 27:3', '1SA 30:5', '2SA 2:2', '2SA 3:3', '2SA 3:3', '1CH 3:1']
11	אֲבִיגַיִל	PN	person	2	False	False	Abigail	Abigail	Avigaïl	Abigail	['2SA 17:25', '1CH 2:16', '1CH 2:17']
12	אֲבִידָן	PN	person		False	False	Abidan	Abidán	Avidân	Abidan	['NUM 1:11', 'NUM 2:22', 'NUM 7:60', 'NUM 7:65', 'NUM 10:24']
13	אֲבִידָע	PN	person		False	False	Abida	Abidá	Avida	Abida	['GEN 25:4', '1CH 1:33']
14	אֲבִיָּה	PN	person	1	False	False	Abijah	Abías	Aviya	Abia	['1CH 7:8']
15	אֲבִיָּה	PN	person	2	False	False	Abijah	Abías	Abiya	Abia	['1CH 2:24']
16	אֲבִיָּה	PN	person	3	False	False	Abijah	Abías	Aviya	Abia	['1SA 8:2', '1CH 5:39']
17	אֲבִיָּה	PN	person	4	False	False	Abijah	Abías	Aviya	Abia	['1CH 24:10']
18	אֲבִיָּה	PN	person	5	False	False	Abijah	Abías	Abiya	Abia	['1CH 3:10', '2CH 11:20', '2CH 11:22', '2CH 12:16', '2CH 13:1', '2CH 13:2', '2CH 13:3', '2CH 13:4', '2CH 13:15', '2CH 13:17', '2CH 13:19', '2CH 13:22', '2CH 13:23']
19	אֲבִיָּה	PN	person	6	False	False	Abijah	Abías	Aviya	Abia	['1KI 14:1']
20	אֲבִיָּה	PN	person	7	False	False	Abijah	Abí	Aviya	Abia	['2CH 29:1']
21	אֲבִיָּה	PN	person	8	False	False	Abijah	Abías	Aviya	Abia	['NEH 10:9', 'NEH 12:4', 'NEH 12:17']
22	אֲבִיָּהוּ	PN	person		False	False	Abijah	Abiam	Abiya	Abia	['2CH 13:20', '2CH 13:21']
23	אֲבִיהוּא	PN	person		False	False	Abihu	Abihú	Avihou	Abihu	['EXO 6:23', 'EXO 24:1', 'EXO 24:9', 'EXO 28:1', 'LEV 10:1', 'NUM 3:2', 'NUM 3:4', 'NUM 26:60', 'NUM 26:61', '1CH 5:29', '1CH 24:1', '1CH 24:2']
24	אֲבִיהוּד	PN	person		False	False	Abihud	Abihud	père d'Ehoud	Abihud	['1CH 8:3']
25	אֲבִיהַיִל	PN	person	1	False	False	Abihail	Abihail	Avihaïl	Abihail	['1CH 2:29']
26	אֲבִיהַיִל	PN	person	2	False	False	Abihail	Abihail	Avihaïl	Abihail	['2CH 11:18']
27	אֲבִיחַיִל	PN	person	1	False	False	Abihail	Abihail	Avihaïl	Abihail	['NUM 3:35']
28	אֲבִיחַיִל	PN	person	2	False	False	Abihail	Abihail	Avihaïl	Abihail	['1CH 5:14']
29	אֲבִיחַיִל	PN	person	3	False	False	Abihail	Abihail	Avihaïl	Abihail	['EST 2:15', 'EST 9:29']
30	אֲבִיטוּב	PN	person		False	False	Abitub	Abitub	Avitouv	Abitub	['1CH 8:11']
31	אֲבִיטַל	PN	person		False	False	Abital	Abiam	Avital	Abital	['2SA 3:4', '1CH 3:3']
32	אֲבִיָּם	PN	person		False	False	Abijam	Abimael	Abiyam	Abiam	['1KI 14:31', '1KI 15:1', '1KI 15:7', '1KI 15:7', '1KI 15:8']
33	אֲבִימָאֵל	PN	person		False	False	Abimael	Abimélec	Avimaël	Abimael	['GEN 10:28', '1CH 1:22']
34	אֲבִימֶלֶךְ	PN	person	1	False	False	Abimelech	Abimélec	Abimélek	Abimelekh	['GEN 20:2', 'GEN 20:3', 'GEN 20:4', 'GEN 20:8', 'GEN 20:9', 'GEN 20:10', 'GEN 20:14', 'GEN 20:15', 'GEN 20:17', 'GEN 20:18', 'GEN 21:22', 'GEN 21:25', 'GEN 21:25', 'GEN 21:26', 'GEN 21:27', 'GEN 21:29', 'GEN 21:32', 'GEN 26:1', 'GEN 26:8', 'GEN 26:9', 'GEN 26:10', 'GEN 26:11', 'GEN 26:16', 'GEN 26:26']
35	אֲבִימֶלֶךְ	PN	person	2	False	False	Abimelech	Ahimélec	Abimélek	Abimelekh	['JDG 8:31', 'JDG 9:1', 'JDG 9:3', 'JDG 9:4', 'JDG 9:6', 'JDG 9:16', 'JDG 9:18', 'JDG 9:19', 'JDG 9:20', 'JDG 9:20', 'JDG 9:21', 'JDG 9:22', 'JDG 9:23', 'JDG 9:23', 'JDG 9:24', 'JDG 9:25', 'JDG 9:27', 'JDG 9:28', 'JDG 9:29', 'JDG 9:29', 'JDG 9:31', 'JDG 9:34', 'JDG 9:35', 'JDG 9:38', 'JDG 9:39', 'JDG 9:40', 'JDG 9:41', 'JDG 9:42', 'JDG 9:44', 'JDG 9:45', 'JDG 9:47', 'JDG 9:48', 'JDG 9:48', 'JDG 9:49', 'JDG 9:50', 'JDG 9:52', 'JDG 9:53', 'JDG 9:55', 'JDG 9:56', 'JDG 10:1', '2SA 11:21']
36	אֲבִימֶלֶךְ	PN	person	3	False	False	Abimelech	Abimélec	Abimélek	Abimelekh	['1CH 18:16']
37	אֲבִימֶלֶךְ	PN	person	4	False	False	Abimelech	Abinadab	Abimélek	Abimelekh	['PSA 34:2']
38	אֲבִינָדָב	PN	person	1	False	False	Abinadab	Abinadab	Avinadav	Abinadab	['1SA 7:1', '2SA 6:3', '2SA 6:3', '2SA 6:4', '1CH 13:7']
39	אֲבִינָדָב	PN	person	2	False	False	Abinadab	Abinadab	Avinadav	Abinadab	['1SA 16:8', '1SA 17:13', '1CH 2:13']
40	אֲבִינָדָב	PN	person	3	False	False	Abinadab	Abinóam	Avinadav	Abinadab	['1SA 31:2', '1CH 8:33', '1CH 9:39', '1CH 10:2']
41	אֲבִינֹעַם	PN	person		False	False	Abinoam	Ebiasaf	Avinoam	Abinoam	['JDG 4:6', 'JDG 4:12', 'JDG 5:1', 'JDG 5:12']
42	אֶבְיָסָף	PN	person		False	False	Ebiasaph	Abiézer	Eviasaf	Ebyasaf	['1CH 5:34', '1CH 6:7', '1CH 9:19']
43	אֲבִיעֶזֶר	PN	person	1	False	False	Abiezer	Abiézer	Avièzer	Abiezer	['JOS 17:2', 'JDG 6:34', 'JDG 8:2', '1CH 7:18']
44	אֲבִיעֶזֶר	PN	person	2	False	False	Abiezer	toro	Avièzer	Abiezer	['2SA 23:27', '1CH 11:28', '1CH 27:12']
45	אַבִּיר	FA	mammals; domestic animals	1	False	False	bull	fuerte	étalons	sapi	['JDG 5:22', 'PSA 22:14', 'PSA 50:13', 'PSA 68:32', 'ISA 34:7', 'JER 8:16', 'JER 47:3', 'JER 50:11']
46	אַבִּיר	AT	animals	2	False	False	mighty one	fuerte	indomptables	yang perkasa	['1SA 21:9', 'JOB 24:22', 'JOB 34:20', 'PSA 76:7', 'PSA 78:25', 'ISA 10:13', 'ISA 46:12', 'JER 46:15', 'LAM 1:15']
47	אָבִיר	BE	supernatural beings and powers; titles		False	False	mighty one	valiente	un indomptable	Yang MahaKuasa	['GEN 49:24', 'PSA 132:2', 'PSA 132:5', 'ISA 1:24', 'ISA 49:26', 'ISA 60:16']
48	אַבִּיר	AT	purpose		False	False	strong-willed	Abiram	indomptable	berani	['PSA 76:7', 'ISA 46:12']
49	אֲבִירָם	PN	person	1	False	False	Abiram	Abiram	Abiram	Abiram	['NUM 16:1', 'NUM 16:12', 'NUM 16:24', 'NUM 16:25', 'NUM 16:27', 'NUM 16:27', 'NUM 26:9', 'NUM 26:9', 'DEU 11:6', 'PSA 106:17']
50	אֲבִירָם	PN	person	2	False	False	Abiram	Abisag	Aviram	Abiram	['1KI 16:34']
51	אֲבִישַׁג	PN	person		False	False	Abishag	Abisúa	Avishag	Abisag	['1KI 1:3', '1KI 1:15', '1KI 2:17', '1KI 2:21', '1KI 2:22']
52	אֲבִישׁוּעַ	PN	person	1	False	False	Abishua	Abisúa	Avishoua	Abisua	['1CH 5:30', '1CH 5:31', '1CH 6:20', 'EZR 7:5']
53	אֲבִישׁוּעַ	PN	person	2	False	False	Abishua	Abisur	Avishoua	Abisua	['1CH 8:4']
54	אֲבִישׁוּר	PN	person		False	False	Abishur	Abisai	Avishour	Abisur	['1CH 2:28', '1CH 2:29']
55	אֲבִישַׁי	PN	person		False	False	Abishai	Absalón	Avishaï	Abisai	['1SA 26:6', '1SA 26:6', '1SA 26:7', '1SA 26:8', '1SA 26:9', '2SA 2:18', '2SA 2:24', '2SA 3:30', '2SA 10:10', '2SA 10:14', '2SA 16:9', '2SA 16:11', '2SA 18:2', '2SA 18:5', '2SA 18:12', '2SA 19:23', '2SA 20:6', '2SA 20:10', '2SA 21:17', '2SA 23:18', '1CH 2:16', '1CH 11:20', '1CH 18:12', '1CH 19:11', '1CH 19:15']
56	אֲבִישָׁלוֹם	PN	person		False	False	Absalom	Abiatar	Absalom	Abisalom	['1KI 15:2', '1KI 15:10']
57	אֶבְיָתָר	PN	person		False	False	Abiathar	Abel	Abiatar	Abyatar	['1SA 22:20', '1SA 22:21', '1SA 22:22', '1SA 23:6', '1SA 23:9', '1SA 30:7', '1SA 30:7', '2SA 8:17', '2SA 15:24', '2SA 15:27', '2SA 15:29', '2SA 15:35', '2SA 15:35', '2SA 15:36', '2SA 17:15', '2SA 19:13', '2SA 20:25', '1KI 1:7', '1KI 1:19', '1KI 1:25', '1KI 1:42', '1KI 2:22', '1KI 2:26', '1KI 2:27', '1KI 2:35', '1KI 4:4', '1CH 15:11', '1CH 18:16', '1CH 24:6', '1CH 27:34']
58	אָבֵל	PN	settlement		False	False	Abel	Abel Betmacá	Avel	Abel	['2SA 20:14', '2SA 20:18']
59	אָבֵל	PN	settlement		False	False	Abel-Beth-Maacah	Abel-sitim	Avel-Beth-Maaka	Abel-Bet-Maakha	['2SA 20:15', '1KI 15:20', '2KI 15:29']
60	אָבֵל	PN	settlement		False	False	Abel-Shittim	Abel-queramim	Avel-Shittim	Abel-Sitim	['NUM 33:49']
61	אָבֵל	PN	settlement		False	False	Abel-Keramim	Abel-meholá	Avel-Keramim	Abel-Keramim	['JDG 11:33']
62	אָבֵל	PN	settlement		False	False	Abel-Meholah	Abel-maim	Avel-Mehola	Abel-Mehola	['JDG 7:22', '1KI 4:12', '1KI 19:16']
63	אָבֵל	PN	settlement		False	False	Abel-Maim	Abel-misraim	Avel-Maïm	Abel-Maim	['2CH 16:4']
64	אָבֵל	PN	settlement		False	False	Abel-Mizraim	balanza	Abel-Misraïm	Abel-Mizraim	['GEN 50:11']
65	אֶבֶן	RE	tools; weight; commerce	1	False	False	stone weight	piedra preciosa	balances	timbangan	['LEV 19:36', 'DEU 25:13', 'DEU 25:13', 'DEU 25:15', '2SA 14:26', 'PRO 11:1', 'PRO 16:11', 'PRO 20:10', 'PRO 20:10', 'PRO 20:23', 'PRO 20:23', 'MIC 6:11']
66	אֶבֶן	RE	gemstones	2	False	False	precious stone	roca de Boán Ben Rubén	pierre précieuse	batu permata	['GEN 2:12', 'EXO 25:7', 'EXO 25:7', 'EXO 28:9', 'EXO 28:10', 'EXO 28:10', 'EXO 28:11', 'EXO 28:11', 'EXO 28:12', 'EXO 28:12', 'EXO 28:17', 'EXO 28:17', 'EXO 28:21', 'EXO 31:5', 'EXO 35:9', 'EXO 35:9', 'EXO 35:27', 'EXO 35:27', 'EXO 35:33', 'EXO 39:6', 'EXO 39:7', 'EXO 39:10', 'EXO 39:14', '2SA 12:30', '1KI 10:2', '1KI 10:10', '1KI 10:11', '1CH 20:2', '1CH 29:2', '1CH 29:2', '1CH 29:2', '1CH 29:2', '1CH 29:8', '2CH 2:12', '2CH 3:6', '2CH 9:1', '2CH 9:9', '2CH 9:10', '2CH 32:27', 'PRO 17:8', 'ISA 54:12', 'ISA 54:12', 'LAM 4:1', 'EZK 1:26', 'EZK 10:1', 'EZK 10:9', 'EZK 27:22', 'EZK 28:13', 'EZK 28:14', 'EZK 28:16', 'DAN 11:38', 'ZEC 3:9', 'ZEC 3:9', 'ZEC 9:16']
