	term	domain	category	sense	AR	DC	en	es	fr	id
0	אֲבַגְתָא	PN	person		False	False	Abagtha	Abagtá	Avagta	Abagta
1	אֵבֶה	FL	grasses		False	False	papyrus	papiro	papyrus	pandan
2	אֵבוּס	RE	containers; animal husbandry		False	False	manger	pesebre	mangeoire	palungan
3	אֲבַטִּיחַ	FL	fruits		False	False	melon	melón	melon	semangka
4	אֲבִי	PN	person		False	False	Abi	Abí	Avi	Abi
5	אֲבִי	PN	group		False	False	Abiezrite	Abiézer	Avièzer	Abiezer
6	אֲבִי־עַלְבוֹן	PN	person		False	False	Abi-Albon	Abí-albón	Avi-Alvôn	Abialbon
7	אֲבִיאֵל	PN	person	1	False	False	Abiel	Abiel	Aviël	Abiel
8	אֲבִיאֵל	PN	person	2	False	False	Abiel	Abiel	Aviël	Abiel
9	אֲבִיאָסָף	PN	person		False	False	Abiasaph	Abiasaf	Aviasaf	Abiasaf
10	אֲבִיגַיִל	PN	person	1	False	False	Abigail	Abigail	Avigaïl	Abigail
11	אֲבִיגַיִל	PN	person	2	False	False	Abigail	Abigail	Avigaïl	Abigail
12	אֲבִידָן	PN	person		False	False	Abidan	Abidán	Avidân	Abidan
13	אֲבִידָע	PN	person		False	False	Abida	Abidá	Avida	Abida
14	אֲבִיָּה	PN	person	1	False	False	Abijah	Abías	Aviya	Abia
15	אֲבִיָּה	PN	person	2	False	False	Abijah	Abías	Abiya	Abia
16	אֲבִיָּה	PN	person	3	False	False	Abijah	Abías	Aviya	Abia
17	אֲבִיָּה	PN	person	4	False	False	Abijah	Abías	Aviya	Abia
18	אֲבִיָּה	PN	person	5	False	False	Abijah	Abías	Abiya	Abia
19	אֲבִיָּה	PN	person	6	False	False	Abijah	Abías	Aviya	Abia
20	אֲבִיָּה	PN	person	7	False	False	Abijah	Abí	Aviya	Abia
21	אֲבִיָּה	PN	person	8	False	False	Abijah	Abías	Aviya	Abia
22	אֲבִיָּהוּ	PN	person		False	False	Abijah	Abiam	Abiya	Abia
23	אֲבִיהוּא	PN	person		False	False	Abihu	Abihú	Avihou	Abihu
24	אֲבִיהוּד	PN	person		False	False	Abihud	Abihud	père d'Ehoud	Abihud
25	אֲבִיהַיִל	PN	person	1	False	False	Abihail	Abihail	Avihaïl	Abihail
26	אֲבִיהַיִל	PN	person	2	False	False	Abihail	Abihail	Avihaïl	Abihail
27	אֲבִיחַיִל	PN	person	1	False	False	Abihail	Abihail	Avihaïl	Abihail
28	אֲבִיחַיִל	PN	person	2	False	False	Abihail	Abihail	Avihaïl	Abihail
29	אֲבִיחַיִל	PN	person	3	False	False	Abihail	Abihail	Avihaïl	Abihail
30	אֲבִיטוּב	PN	person		False	False	Abitub	Abitub	Avitouv	Abitub
31	אֲבִיטַל	PN	person		False	False	Abital	Abiam	Avital	Abital
32	אֲבִיָּם	PN	person		False	False	Abijam	Abimael	Abiyam	Abiam
33	אֲבִימָאֵל	PN	person		False	False	Abimael	Abimélec	Avimaël	Abimael
34	אֲבִימֶלֶךְ	PN	person	1	False	False	Abimelech	Abimélec	Abimélek	Abimelekh
35	אֲבִימֶלֶךְ	PN	person	2	False	False	Abimelech	Ahimélec	Abimélek	Abimelekh
36	אֲבִימֶלֶךְ	PN	person	3	False	False	Abimelech	Abimélec	Abimélek	Abimelekh
37	אֲבִימֶלֶךְ	PN	person	4	False	False	Abimelech	Abinadab	Abimélek	Abimelekh
38	אֲבִינָדָב	PN	person	1	False	False	Abinadab	Abinadab	Avinadav	Abinadab
39	אֲבִינָדָב	PN	person	2	False	False	Abinadab	Abinadab	Avinadav	Abinadab
40	אֲבִינָדָב	PN	person	3	False	False	Abinadab	Abinóam	Avinadav	Abinadab
41	אֲבִינֹעַם	PN	person		False	False	Abinoam	Ebiasaf	Avinoam	Abinoam
42	אֶבְיָסָף	PN	person		False	False	Ebiasaph	Abiézer	Eviasaf	Ebyasaf
43	אֲבִיעֶזֶר	PN	person	1	False	False	Abiezer	Abiézer	Avièzer	Abiezer
44	אֲבִיעֶזֶר	PN	person	2	False	False	Abiezer	toro	Avièzer	Abiezer
45	אַבִּיר	FA	mammals; domestic animals	1	False	False	bull	fuerte	étalons	sapi
46	אַבִּיר	AT	animals	2	False	False	mighty one	fuerte	indomptables	yang perkasa
47	אָבִיר	BE	supernatural beings and powers; titles		False	False	mighty one	valiente	un indomptable	Yang MahaKuasa
48	אַבִּיר	AT	purpose		False	False	strong-willed	Abiram	indomptable	berani
49	אֲבִירָם	PN	person	1	False	False	Abiram	Abiram	Abiram	Abiram
50	אֲבִירָם	PN	person	2	False	False	Abiram	Abisag	Aviram	Abiram
51	אֲבִישַׁג	PN	person		False	False	Abishag	Abisúa	Avishag	Abisag
52	אֲבִישׁוּעַ	PN	person	1	False	False	Abishua	Abisúa	Avishoua	Abisua
53	אֲבִישׁוּעַ	PN	person	2	False	False	Abishua	Abisur	Avishoua	Abisua
54	אֲבִישׁוּר	PN	person		False	False	Abishur	Abisai	Avishour	Abisur
55	אֲבִישַׁי	PN	person		False	False	Abishai	Absalón	Avishaï	Abisai
56	אֲבִישָׁלוֹם	PN	person		False	False	Absalom	Abiatar	Absalom	Abisalom
57	אֶבְיָתָר	PN	person		False	False	Abiathar	Abel	Abiatar	Abyatar
58	אָבֵל	PN	settlement		False	False	Abel	Abel Betmacá	Avel	Abel
59	אָבֵל	PN	settlement		False	False	Abel-Beth-Maacah	Abel-sitim	Avel-Beth-Maaka	Abel-Bet-Maakha
60	אָבֵל	PN	settlement		False	False	Abel-Shittim	Abel-queramim	Avel-Shittim	Abel-Sitim
61	אָבֵל	PN	settlement		False	False	Abel-Keramim	Abel-meholá	Avel-Keramim	Abel-Keramim
62	אָבֵל	PN	settlement		False	False	Abel-Meholah	Abel-maim	Avel-Mehola	Abel-Mehola
63	אָבֵל	PN	settlement		False	False	Abel-Maim	Abel-misraim	Avel-Maïm	Abel-Maim
64	אָבֵל	PN	settlement		False	False	Abel-Mizraim	balanza	Abel-Misraïm	Abel-Mizraim
65	אֶבֶן	RE	tools; weight; commerce	1	False	False	stone weight	piedra preciosa	balances	timbangan
66	אֶבֶן	RE	gemstones	2	False	False	precious stone	roca de Boán Ben Rubén	pierre précieuse	batu permata
