	vrefs
0	['EST 1:10']
1	['JOB 9:26']
2	['JOB 39:9', 'PRO 14:4', 'ISA 1:3']
3	['NUM 11:5']
4	['2KI 18:2']
5	['JDG 6:11', 'JDG 6:24', 'JDG 8:32']
6	['2SA 23:31']
7	['1SA 9:1', '1SA 14:51']
8	['1CH 11:32']
9	['EXO 6:24']
10	['1SA 25:3', '1SA 25:14', '1SA 25:18', '1SA 25:18', '1SA 25:23', '1SA 25:32', '1SA 25:36', '1SA 25:39', '1SA 25:40', '1SA 25:42', '1SA 27:3', '1SA 30:5', '2SA 2:2', '2SA 3:3', '2SA 3:3', '1CH 3:1']
11	['2SA 17:25', '1CH 2:16', '1CH 2:17']
12	['NUM 1:11', 'NUM 2:22', 'NUM 7:60', 'NUM 7:65', 'NUM 10:24']
13	['GEN 25:4', '1CH 1:33']
14	['1CH 7:8']
15	['1CH 2:24']
16	['1SA 8:2', '1CH 5:39']
17	['1CH 24:10']
18	['1CH 3:10', '2CH 11:20', '2CH 11:22', '2CH 12:16', '2CH 13:1', '2CH 13:2', '2CH 13:3', '2CH 13:4', '2CH 13:15', '2CH 13:17', '2CH 13:19', '2CH 13:22', '2CH 13:23']
19	['1KI 14:1']
20	['2CH 29:1']
21	['NEH 10:9', 'NEH 12:4', 'NEH 12:17']
22	['2CH 13:20', '2CH 13:21']
23	['EXO 6:23', 'EXO 24:1', 'EXO 24:9', 'EXO 28:1', 'LEV 10:1', 'NUM 3:2', 'NUM 3:4', 'NUM 26:60', 'NUM 26:61', '1CH 5:29', '1CH 24:1', '1CH 24:2']
24	['1CH 8:3']
25	['1CH 2:29']
26	['2CH 11:18']
27	['NUM 3:35']
28	['1CH 5:14']
29	['EST 2:15', 'EST 9:29']
30	['1CH 8:11']
31	['2SA 3:4', '1CH 3:3']
32	['1KI 14:31', '1KI 15:1', '1KI 15:7', '1KI 15:7', '1KI 15:8']
33	['GEN 10:28', '1CH 1:22']
34	['GEN 20:2', 'GEN 20:3', 'GEN 20:4', 'GEN 20:8', 'GEN 20:9', 'GEN 20:10', 'GEN 20:14', 'GEN 20:15', 'GEN 20:17', 'GEN 20:18', 'GEN 21:22', 'GEN 21:25', 'GEN 21:25', 'GEN 21:26', 'GEN 21:27', 'GEN 21:29', 'GEN 21:32', 'GEN 26:1', 'GEN 26:8', 'GEN 26:9', 'GEN 26:10', 'GEN 26:11', 'GEN 26:16', 'GEN 26:26']
35	['JDG 8:31', 'JDG 9:1', 'JDG 9:3', 'JDG 9:4', 'JDG 9:6', 'JDG 9:16', 'JDG 9:18', 'JDG 9:19', 'JDG 9:20', 'JDG 9:20', 'JDG 9:21', 'JDG 9:22', 'JDG 9:23', 'JDG 9:23', 'JDG 9:24', 'JDG 9:25', 'JDG 9:27', 'JDG 9:28', 'JDG 9:29', 'JDG 9:29', 'JDG 9:31', 'JDG 9:34', 'JDG 9:35', 'JDG 9:38', 'JDG 9:39', 'JDG 9:40', 'JDG 9:41', 'JDG 9:42', 'JDG 9:44', 'JDG 9:45', 'JDG 9:47', 'JDG 9:48', 'JDG 9:48', 'JDG 9:49', 'JDG 9:50', 'JDG 9:52', 'JDG 9:53', 'JDG 9:55', 'JDG 9:56', 'JDG 10:1', '2SA 11:21']
36	['1CH 18:16']
37	['PSA 34:2']
38	['1SA 7:1', '2SA 6:3', '2SA 6:3', '2SA 6:4', '1CH 13:7']
39	['1SA 16:8', '1SA 17:13', '1CH 2:13']
40	['1SA 31:2', '1CH 8:33', '1CH 9:39', '1CH 10:2']
41	['JDG 4:6', 'JDG 4:12', 'JDG 5:1', 'JDG 5:12']
42	['1CH 5:34', '1CH 6:7', '1CH 9:19']
43	['JOS 17:2', 'JDG 6:34', 'JDG 8:2', '1CH 7:18']
44	['2SA 23:27', '1CH 11:28', '1CH 27:12']
45	['JDG 5:22', 'PSA 22:14', 'PSA 50:13', 'PSA 68:32', 'ISA 34:7', 'JER 8:16', 'JER 47:3', 'JER 50:11']
46	['1SA 21:9', 'JOB 24:22', 'JOB 34:20', 'PSA 76:7', 'PSA 78:25', 'ISA 10:13', 'ISA 46:12', 'JER 46:15', 'LAM 1:15']
47	['GEN 49:24', 'PSA 132:2', 'PSA 132:5', 'ISA 1:24', 'ISA 49:26', 'ISA 60:16']
48	['PSA 76:7', 'ISA 46:12']
49	['NUM 16:1', 'NUM 16:12', 'NUM 16:24', 'NUM 16:25', 'NUM 16:27', 'NUM 16:27', 'NUM 26:9', 'NUM 26:9', 'DEU 11:6', 'PSA 106:17']
50	['1KI 16:34']
51	['1KI 1:3', '1KI 1:15', '1KI 2:17', '1KI 2:21', '1KI 2:22']
52	['1CH 5:30', '1CH 5:31', '1CH 6:20', 'EZR 7:5']
53	['1CH 8:4']
54	['1CH 2:28', '1CH 2:29']
55	['1SA 26:6', '1SA 26:6', '1SA 26:7', '1SA 26:8', '1SA 26:9', '2SA 2:18', '2SA 2:24', '2SA 3:30', '2SA 10:10', '2SA 10:14', '2SA 16:9', '2SA 16:11', '2SA 18:2', '2SA 18:5', '2SA 18:12', '2SA 19:23', '2SA 20:6', '2SA 20:10', '2SA 21:17', '2SA 23:18', '1CH 2:16', '1CH 11:20', '1CH 18:12', '1CH 19:11', '1CH 19:15']
56	['1KI 15:2', '1KI 15:10']
