	en	Found	Not_found	Found_ratio
0	Aaron	327	24	0.9316239316239316
1	Abaddon	0	5	0.0
2	Abagtha	1	1	0.5
3	Abarim	5	0	1.0
4	Abda	2	0	1.0
5	Abdeel	1	0	1.0
6	Abdi	2	1	0.6666666666666666
7	Abdiel	1	0	1.0
8	Abdon	7	2	0.7777777777777778
9	Abednego	15	0	1.0
10	Abel	7	3	0.7
11	Abel-Beth-Maacah	0	3	0.0
12	Abel-Keramim	0	1	0.0
13	Abel-Maim	0	1	0.0
14	Abel-Meholah	0	3	0.0
15	Abel-Mizraim	0	1	0.0
16	Abel-Shittim	0	1	0.0
17	Abi	1	0	1.0
18	Abi-Albon	0	1	0.0
19	Abiasaph	1	0	1.0
20	Abiathar	29	1	0.9666666666666667
21	Abida	2	0	1.0
22	Abidan	5	0	1.0
23	Abiel	3	0	1.0
24	Abiezer	7	0	1.0
25	Abiezrite	3	0	1.0
26	Abigail	19	0	1.0
27	Abihail	6	0	1.0
28	Abihu	12	0	1.0
29	Abihud	1	0	1.0
30	Abijah	25	3	0.8928571428571429
31	Abijam	5	0	1.0
32	Abilene	0	1	0.0
33	Abimael	2	0	1.0
34	Abimelech	66	1	0.9850746268656716
35	Abinadab	12	0	1.0
36	Abinoam	4	0	1.0
37	Abiram	11	1	0.9166666666666666
38	Abishag	5	0	1.0
39	Abishai	24	1	0.96
40	Abishua	4	3	0.5714285714285714
41	Abishur	2	0	1.0
42	Abital	2	0	1.0
43	Abitub	1	0	1.0
44	Abiud	0	1	0.0
45	Abner	63	0	1.0
46	Abraham	173	4	0.9774011299435028
47	Abram	61	0	1.0
48	Abronah	2	0	1.0
49	Absalom	103	14	0.8803418803418803
50	Abubus	0	1	0.0
51	Accad	1	0	1.0
52	Acco	1	0	1.0
53	Accos	0	1	0.0
54	Achaicus	0	10	0.0
55	Achan	6	0	1.0
56	Achar	1	0	1.0
57	Achbor	7	0	1.0
58	Achim	0	2	0.0
59	Achior	0	3	0.0
60	Achish	19	2	0.9047619047619048
61	Achsah	5	0	1.0
62	Achshaph	3	0	1.0
63	Achzib	4	0	1.0
64	Adadah	1	0	1.0
65	Adah	8	0	1.0
66	Adaiah	8	3	0.7272727272727273
67	Adalia	1	0	1.0
68	Adam	12	0	1.0
69	Adamah	1	0	1.0
70	Adami Nekeb	0	1	0.0
71	Adar	0	3	0.0
72	Adasa	0	17	0.0
73	Adbeel	2	0	1.0
74	Addan	1	4	0.2
75	Addi	0	10	0.0
76	Addon	1	0	1.0
77	Addus	0	1	0.0
78	Adiel	3	0	1.0
79	Adin	3	1	0.75
80	Adina	1	0	1.0
81	Adithaim	1	0	1.0
82	Adlai	1	0	1.0
83	Admah	4	1	0.8
84	Admatha	1	0	1.0
85	Adna	2	0	1.0
86	Adnah	1	1	0.5
87	Adoni-Bezek	3	0	1.0
88	Adoni-Zedek	2	0	1.0
89	Adonijah	25	1	0.9615384615384616
90	Adonikam	3	1	0.75
91	Adoniram	2	0	1.0
92	Adora	0	2	0.0
93	Adoraim	1	0	1.0
94	Adoram	2	0	1.0
95	Adrammelech	3	0	1.0
96	Adriatic Sea	0	1	0.0
97	Adriel	2	0	1.0
98	Adullam	8	1	0.8888888888888888
99	Adullamite	3	0	1.0
100	Adummim	2	0	1.0
101	Aenon	0	2	0.0
102	Aesora	0	6	0.0
103	Agag	8	0	1.0
104	Agagite	5	0	1.0
105	Agee	1	0	1.0
106	Agia	0	2	0.0
107	Agur	1	0	1.0
108	Ahab	91	2	0.978494623655914
109	Aharah	1	0	1.0
110	Aharhel	1	0	1.0
111	Ahasbai	1	0	1.0
112	Ahasuerus	32	0	1.0
113	Ahava	3	0	1.0
114	Ahaz	41	1	0.9761904761904762
115	Ahaziah	34	3	0.918918918918919
116	Ahban	1	0	1.0
117	Ahi	2	0	1.0
118	Ahiam	2	0	1.0
119	Ahian	1	0	1.0
120	Ahiezer	6	0	1.0
121	Ahihud	2	0	1.0
122	Ahijah	23	1	0.9583333333333334
123	Ahikam	20	0	1.0
124	Ahikar	0	18	0.0
125	Ahilud	5	0	1.0
126	Ahimaaz	14	1	0.9333333333333333
127	Ahiman	4	0	1.0
128	Ahimelech	14	3	0.8235294117647058
129	Ahimoth	0	1	0.0
130	Ahinadab	1	0	1.0
131	Ahinoam	7	0	1.0
132	Ahio	6	0	1.0
133	Ahira	5	0	1.0
134	Ahiram	1	0	1.0
135	Ahiramite	1	0	1.0
136	Ahisamach	3	0	1.0
137	Ahishahar	1	0	1.0
138	Ahishar	1	0	1.0
139	Ahithophel	20	0	1.0
140	Ahitub	14	2	0.875
141	Ahlab	1	0	1.0
142	Ahlai	2	0	1.0
143	Ahoah	1	0	1.0
144	Ahohite	5	0	1.0
145	Ahumai	1	0	1.0
