	English gloss	Found	Not_found	Found_ratio
0		196	0	1.0
1	A Nazarene	1	0	1.0
2	A Samaritan	0	1	0.0
3	Aaron	315	0	1.0
4	Aaron’s	22	11	0.6666666666666666
5	Abagtha	1	0	1.0
6	Abana	1	0	1.0
7	Abarim	5	0	1.0
8	Abda	2	0	1.0
9	Abdeel	1	0	1.0
10	Abdi	3	0	1.0
11	Abdiel	1	0	1.0
12	Abdon	8	0	1.0
13	Abel	12	0	1.0
14	Abi	1	0	1.0
15	Abiasaph	1	0	1.0
16	Abiathar	31	0	1.0
17	Abida	2	0	1.0
18	Abidan	5	0	1.0
19	Abiel	3	0	1.0
20	Abiezer	5	0	1.0
21	Abiezrites	0	1	0.0
22	Abigail	17	0	1.0
23	Abihail	6	0	1.0
24	Abihu	12	0	1.0
25	Abihud	1	0	1.0
26	Abijah	27	0	1.0
27	Abijam	5	0	1.0
28	Abimael	2	0	1.0
29	Abimelech	63	1	0.984375
30	Abimelech’s	2	0	1.0
31	Abinadab	13	0	1.0
32	Abinoam	4	0	1.0
33	Abiram	11	0	1.0
34	Abishag	5	0	1.0
35	Abishai	25	0	1.0
36	Abishalom	2	0	1.0
37	Abishua	5	0	1.0
38	Abishur	1	0	1.0
39	Abishur’s	0	1	0.0
40	Abital	2	0	1.0
41	Abitub	1	0	1.0
42	Abiud	2	0	1.0
43	Abner	62	0	1.0
44	Abner’s	1	0	1.0
45	Abraham	202	0	1.0
46	Abraham’s	13	0	1.0
47	Abram	54	0	1.0
48	Abram’s	7	0	1.0
49	Abronah	2	0	1.0
50	Absalom	102	1	0.9902912621359223
51	Absalom’s	5	1	0.8333333333333334
52	Accad	1	0	1.0
53	Acco	1	0	1.0
54	Achaia	8	0	1.0
55	Achaicus	1	0	1.0
56	Achan	6	0	1.0
57	Achar	1	0	1.0
58	Achbor	7	0	1.0
59	Achim	2	0	1.0
60	Achish	21	0	1.0
61	Achor	5	0	1.0
62	Achsah	5	0	1.0
63	Achshaph	3	0	1.0
64	Achzib	4	0	1.0
65	Adadah	1	0	1.0
66	Adah	8	0	1.0
67	Adaiah	9	0	1.0
68	Adalia	1	0	1.0
69	Adam	16	0	1.0
70	Adamah	1	0	1.0
71	Adar	9	0	1.0
72	Adbeel	2	0	1.0
73	Addan	1	0	1.0
74	Addar	2	0	1.0
75	Addon	1	0	1.0
76	Adiel	3	0	1.0
77	Adin	4	0	1.0
78	Adina	1	0	1.0
79	Adithaim	1	0	1.0
80	Adlai	1	0	1.0
81	Admah	5	0	1.0
82	Admatha	1	0	1.0
83	Adna	2	0	1.0
84	Adnah	2	0	1.0
85	Adonijah	26	0	1.0
86	Adonikam	3	0	1.0
87	Adoniram	2	0	1.0
88	Adoraim	1	0	1.0
89	Adoram	2	0	1.0
90	Adrammelech	3	0	1.0
91	Adriatic	1	0	1.0
92	Adriel	2	0	1.0
93	Adullam	8	0	1.0
94	Adullamite	3	0	1.0
95	Aeneas	2	0	1.0
96	Aenon	0	1	0.0
97	Agabus	2	0	1.0
98	Agag	8	0	1.0
99	Agagite	5	0	1.0
100	Agee	1	0	1.0
101	Agrippa	11	0	1.0
102	Agur	1	0	1.0
103	Ahab	92	0	1.0
104	Ahab’s	1	0	1.0
105	Aharah	1	0	1.0
106	Aharhel	1	0	1.0
107	Ahasbai	1	0	1.0
108	Ahasuerus	31	0	1.0
109	Ahava	3	0	1.0
110	Ahaz	43	0	1.0
111	Ahaziah	36	1	0.972972972972973
112	Ahaziah’s	0	1	0.0
113	Ahban	1	0	1.0
114	Ahi	2	0	1.0
115	Ahiah	1	0	1.0
116	Ahiam	2	0	1.0
117	Ahian	1	0	1.0
118	Ahiezer	6	0	1.0
119	Ahihud	2	0	1.0
120	Ahijah	23	0	1.0
121	Ahikam	20	0	1.0
122	Ahilud	5	0	1.0
123	Ahimaaz	15	0	1.0
124	Ahiman	4	0	1.0
125	Ahimelech	16	2	0.8888888888888888
126	Ahimoth	1	0	1.0
127	Ahinadab	1	0	1.0
128	Ahinoam	7	0	1.0
129	Ahio	6	0	1.0
130	Ahira	5	0	1.0
131	Ahiram	1	0	1.0
132	Ahiramites	1	0	1.0
133	Ahisamach	3	0	1.0
134	Ahishahar	1	0	1.0
135	Ahishar	1	0	1.0
136	Ahithophel	19	0	1.0
137	Ahitub	15	0	1.0
138	Ahlab	1	0	1.0
139	Ahlai	2	0	1.0
140	Ahoah	1	0	1.0
141	Ahohite	5	0	1.0
142	Ahumai	1	0	1.0
143	Ahuzzam	1	0	1.0
144	Ahuzzath	1	0	1.0
145	Ahzai	1	0	1.0
146	Ai	37	0	1.0
147	Aiah	6	0	1.0
148	Aiath	1	0	1.0
149	Aija	1	0	1.0
150	Aijalon	10	0	1.0
151	Ain	2	0	1.0
152	Akan	1	0	1.0
153	Akeldama	1	0	1.0
154	Akkub	8	0	1.0
155	Alemeth	3	1	0.75
156	Alexander	5	0	1.0
157	Alexandrians	1	0	1.0
158	Aliah	1	0	1.0
159	Alian	1	0	1.0
160	Allammelech	1	0	1.0
161	Allon	1	0	1.0
162	Almighty	48	0	1.0
163	Almodad	2	0	1.0
164	Almon	1	0	1.0
165	Alpha	3	0	1.0
166	Alush	2	0	1.0
167	Alvah	1	0	1.0
