	en	Found	Not_found	Found_ratio
0	Aaron	327	19	0.9450867052023122
1	Abarim	3	2	0.6
2	Abda	0	2	0.0
3	Abdeel	0	1	0.0
4	Abdi	2	1	0.6666666666666666
5	Abdiel	1	0	1.0
6	Abdon	6	3	0.6666666666666666
7	Abel	7	0	1.0
8	Abel-Beth-Maacah	0	3	0.0
9	Abel-Keramim	0	1	0.0
10	Abel-Maim	0	1	0.0
11	Abel-Meholah	0	3	0.0
12	Abel-Mizraim	0	1	0.0
13	Abel-Shittim	0	1	0.0
14	Abi	0	1	0.0
15	Abiasaph	0	1	0.0
16	Abiathar	30	0	1.0
17	Abida	1	1	0.5
18	Abidan	5	0	1.0
19	Abiel	3	0	1.0
20	Abiezer	6	1	0.8571428571428571
21	Abiezrite	0	3	0.0
22	Abigail	0	19	0.0
23	Abihail	0	4	0.0
24	Abihu	0	12	0.0
25	Abihud	0	1	0.0
26	Abijah	0	23	0.0
27	Abijam	0	5	0.0
28	Abimael	1	0	1.0
29	Abimelech	65	2	0.9701492537313433
30	Abinadab	0	12	0.0
31	Abinoam	0	4	0.0
32	Abiram	0	11	0.0
33	Abishag	0	5	0.0
34	Abishai	0	25	0.0
35	Abishua	0	5	0.0
36	Abishur	0	2	0.0
37	Abital	2	0	1.0
38	Abitub	0	1	0.0
39	Abner	0	59	0.0
40	Abraham	4	170	0.022988505747126436
41	Abram	59	2	0.9672131147540983
42	Abronah	0	2	0.0
43	Absalom	0	111	0.0
44	Accad	0	1	0.0
45	Acco	0	1	0.0
46	Achan	0	6	0.0
47	Achar	1	0	1.0
48	Achbor	0	7	0.0
49	Achish	0	21	0.0
50	Achsah	0	5	0.0
51	Achshaph	0	3	0.0
52	Achzib	0	4	0.0
53	Adadah	0	1	0.0
54	Adah	0	8	0.0
55	Adaiah	0	9	0.0
56	Adam	9	3	0.75
57	Adamah	0	1	0.0
58	Adami Nekeb	0	1	0.0
59	Adar	0	2	0.0
60	Adbeel	0	2	0.0
61	Addan	0	1	0.0
62	Addon	0	1	0.0
63	Adiel	1	2	0.3333333333333333
64	Adin	1	3	0.25
65	Adina	1	0	1.0
66	Adithaim	0	1	0.0
67	Adlai	0	1	0.0
68	Admah	0	5	0.0
69	Adna	0	2	0.0
70	Adnah	0	2	0.0
71	Adoni-Bezek	0	3	0.0
72	Adoni-Zedek	0	2	0.0
73	Adonijah	0	26	0.0
74	Adonikam	0	3	0.0
75	Adoniram	2	0	1.0
76	Adoraim	0	1	0.0
77	Adoram	0	2	0.0
78	Adrammelech	0	3	0.0
79	Adriel	0	1	0.0
80	Adullam	0	8	0.0
81	Adullamite	0	3	0.0
82	Adummim	0	2	0.0
83	Agag	7	1	0.875
84	Agee	0	1	0.0
85	Ahab	0	90	0.0
86	Aharah	0	1	0.0
87	Aharhel	0	1	0.0
88	Ahasbai	0	1	0.0
89	Ahasuerus	0	1	0.0
90	Ahava	0	3	0.0
91	Ahaz	0	41	0.0
92	Ahaziah	0	36	0.0
93	Ahban	0	1	0.0
94	Ahi	0	2	0.0
95	Ahiam	0	2	0.0
96	Ahian	0	1	0.0
97	Ahiezer	0	6	0.0
98	Ahihud	0	2	0.0
99	Ahijah	0	18	0.0
100	Ahikam	0	18	0.0
101	Ahilud	0	5	0.0
102	Ahimaaz	0	15	0.0
103	Ahiman	0	4	0.0
104	Ahimelech	0	17	0.0
105	Ahimoth	0	1	0.0
106	Ahinadab	0	1	0.0
107	Ahinoam	0	7	0.0
108	Ahio	0	6	0.0
109	Ahira	0	5	0.0
110	Ahiram	0	1	0.0
111	Ahiramite	0	1	0.0
112	Ahisamach	0	3	0.0
113	Ahishahar	0	1	0.0
114	Ahishar	0	1	0.0
115	Ahithophel	0	20	0.0
116	Ahitub	0	15	0.0
117	Ahlab	0	1	0.0
118	Ahlai	0	2	0.0
119	Ahoah	0	1	0.0
120	Ahohite	0	5	0.0
121	Ahumai	0	1	0.0
122	Ahuzzam	0	1	0.0
123	Ahuzzath	0	1	0.0
124	Ahzai	0	1	0.0
125	Ai	26	5	0.8387096774193549
126	Aiah	0	6	0.0
127	Aiath	0	1	0.0
128	Aijalon	0	10	0.0
129	Ain	1	4	0.2
130	Akan	0	1	0.0
131	Akkub	0	8	0.0
132	Alemeth	1	3	0.25
133	Alian	0	1	0.0
134	Allammelech	0	1	0.0
135	Allon	0	1	0.0
136	Almighty One	1	47	0.020833333333333332
137	Almodad	0	1	0.0
138	Almon	0	1	0.0
139	Almon-Diblathaim	0	2	0.0
140	Alush	0	2	0.0
141	Alvah	0	2	0.0
142	Alvan	0	1	0.0
143	Amad	0	1	0.0
144	Amal	1	0	1.0
145	Amalek	4	35	0.10256410256410256
146	Amalekite	5	7	0.4166666666666667
147	Amam	0	1	0.0
148	Amanah	0	2	0.0
149	Amariah	0	14	0.0
150	Amasa	0	12	0.0
151	Amasai	2	3	0.4
152	Amashsai	0	1	0.0
153	Amasiah	0	1	0.0
154	Amaziah	0	44	0.0
155	Ami	0	1	0.0
156	Amittai	0	2	0.0
157	Ammah	0	1	0.0
158	Ammiel	0	6	0.0
159	Ammihud	0	10	0.0
160	Amminadab	0	12	0.0
161	Ammishaddai	0	5	0.0
162	Ammizabad	0	1	0.0
163	Ammon	86	17	0.8349514563106796
164	Ammonite	5	17	0.22727272727272727
165	Amnon	21	1	0.9545454545454546
166	Amok	0	2	0.0
167	Amon	7	10	0.4117647058823529
168	Amorite	77	6	0.927710843373494
169	Amos	7	0	1.0
170	Amoz	0	13	0.0
171	Amram	4	9	0.3076923076923077
172	Amramite	0	2	0.0
173	Amraphel	0	2	0.0
174	Amzi	0	2	0.0
175	Anab	1	1	0.5
176	Anah	0	10	0.0
177	Anaharath	0	1	0.0
178	Anaiah	0	2	0.0
179	Anak	0	9	0.0
180	Anakim	0	9	0.0
181	Anamim	0	1	0.0
182	Anammelech	0	1	0.0
183	Anan	0	1	0.0
184	Anani	0	1	0.0
185	Ananiah	0	1	0.0
186	Anath	1	1	0.5
187	Anathoth	10	1	0.9090909090909091
188	Anathothite	1	3	0.25
189	Anem	0	1	0.0
190	Aner	0	3	0.0
191	Aniam	0	1	0.0
192	Anim	0	1	0.0
193	Anthothijah	0	1	0.0
194	Anub	0	1	0.0
195	Aphek	0	7	0.0
196	Aphekah	0	1	0.0
197	Aphiah	0	1	0.0
198	Aphik	0	1	0.0
199	Appaim	0	2	0.0
200	Ar	5	1	0.8333333333333334
201	Ara	1	0	1.0
202	Arab	8	3	0.7272727272727273
203	Arabah	0	24	0.0
204	Arabia	2	2	0.5
205	Arad	3	2	0.6
206	Arah	0	4	0.0
207	Aram	9	113	0.07377049180327869
208	Aram of Damascus	0	3	0.0
209	Aram-zobah	0	3	0.0
210	Aramaic	0	4	0.0
211	Aramean	0	12	0.0
212	Aran	2	0	1.0
213	Ararat	1	3	0.25
214	Araunah	0	7	0.0
215	Arbathite	0	1	0.0
216	Arbite	0	1	0.0
217	Ard	0	2	0.0
218	Ardite	0	1	0.0
219	Ardon	1	0	1.0
220	Areli	0	2	0.0
221	Arelite	0	1	0.0
222	Argob	4	1	0.8
223	Arieh	0	1	0.0
224	Ariel	4	0	1.0
225	Arioch	2	0	1.0
226	Arkite	0	7	0.0
227	Armoni	0	1	0.0
228	Arnan	0	1	0.0
229	Arnon	21	1	0.9545454545454546
230	Arod	0	1	0.0
231	Arodi	0	1	0.0
232	Arodite	0	1	0.0
233	Aroer	10	1	0.9090909090909091
234	Aroerite	0	1	0.0
235	Arpachshad	0	8	0.0
236	Arpad	0	5	0.0
237	Artaxerxes	0	16	0.0
238	Arubboth	0	1	0.0
239	Arumah	0	1	0.0
240	Arvad	0	2	0.0
241	Arvadite	0	1	0.0
242	Arza	0	1	0.0
243	Asa	43	7	0.86
244	Asahel	0	17	0.0
245	Asaiah	0	8	0.0
246	Asaph	36	5	0.8780487804878049
247	Asarel	0	1	0.0
248	Asarelah	0	1	0.0
249	Ascent of Akrabbim	0	3	0.0
250	Asenath	0	3	0.0
251	Ashan	0	4	0.0
252	Ashbel	0	3	0.0
253	Ashbelite	0	1	0.0
254	Ashdod	0	15	0.0
255	Ashdodite	0	7	0.0
256	Asher	0	43	0.0
257	Asherah	0	7	0.0
258	Asherite	0	1	0.0
259	Ashhur	0	2	0.0
260	Ashima	0	1	0.0
261	Ashkelon	0	11	0.0
262	Ashkelonite	0	1	0.0
263	Ashkenaz	0	3	0.0
264	Ashnah	0	2	0.0
