	en	Found	Not_found	Found_ratio
0	Aaron	327	24	0.9316239316239316
1	Abaddon	0	5	0.0
2	Abagtha	1	0	1.0
3	Abarim	4	1	0.8
4	Abda	2	0	1.0
5	Abdeel	1	0	1.0
6	Abdi	2	1	0.6666666666666666
7	Abdiel	1	0	1.0
8	Abdon	7	2	0.7777777777777778
9	Abednego	0	15	0.0
10	Abel	7	2	0.7777777777777778
11	Abel-Beth-Maacah	0	3	0.0
12	Abel-Keramim	0	1	0.0
13	Abel-Maim	1	0	1.0
14	Abel-Meholah	3	0	1.0
15	Abel-Mizraim	1	0	1.0
16	Abel-Shittim	1	0	1.0
17	Abi	1	0	1.0
18	Abi-Albon	1	0	1.0
19	Abiasaph	1	0	1.0
20	Abiathar	29	1	0.9666666666666667
21	Abida	2	0	1.0
22	Abidan	5	0	1.0
23	Abiel	3	0	1.0
24	Abiezer	3	4	0.42857142857142855
25	Abiezrite	0	3	0.0
26	Abigail	19	0	1.0
27	Abihail	6	0	1.0
28	Abihu	12	0	1.0
29	Abihud	1	0	1.0
30	Abijah	19	9	0.6785714285714286
31	Abijam	5	0	1.0
32	Abilene	0	1	0.0
33	Abimael	2	0	1.0
34	Abimelech	66	1	0.9850746268656716
35	Abinadab	12	0	1.0
36	Abinoam	4	0	1.0
37	Abiram	11	0	1.0
38	Abishag	5	0	1.0
39	Abishai	24	1	0.96
40	Abishua	4	1	0.8
41	Abishur	2	0	1.0
42	Abital	2	0	1.0
43	Abitub	1	0	1.0
44	Abiud	0	1	0.0
45	Abner	63	0	1.0
46	Abraham	173	4	0.9774011299435028
47	Abram	61	0	1.0
48	Abronah	0	2	0.0
49	Absalom	103	8	0.9279279279279279
50	Accad	1	0	1.0
51	Acco	0	1	0.0
52	Achaicus	0	10	0.0
53	Achan	6	0	1.0
54	Achar	1	0	1.0
55	Achbor	7	0	1.0
56	Achim	0	2	0.0
57	Achish	19	2	0.9047619047619048
58	Achsah	5	0	1.0
59	Achshaph	3	0	1.0
60	Achzib	4	0	1.0
61	Adadah	1	0	1.0
62	Adah	8	0	1.0
63	Adaiah	8	1	0.8888888888888888
64	Adalia	1	0	1.0
65	Adam	11	1	0.9166666666666666
66	Adamah	1	0	1.0
67	Adami Nekeb	0	1	0.0
68	Adar	1	1	0.5
69	Adbeel	2	0	1.0
70	Addan	1	0	1.0
71	Addi	0	9	0.0
72	Addon	1	0	1.0
73	Adiel	3	0	1.0
74	Adin	3	1	0.75
75	Adina	1	0	1.0
76	Adithaim	1	0	1.0
77	Adlai	1	0	1.0
78	Admah	4	1	0.8
79	Admatha	1	0	1.0
80	Adna	2	0	1.0
81	Adnah	1	1	0.5
82	Adoni-Bezek	3	0	1.0
83	Adoni-Zedek	2	0	1.0
84	Adonijah	25	1	0.9615384615384616
85	Adonikam	3	0	1.0
86	Adoniram	2	0	1.0
87	Adoraim	1	0	1.0
88	Adoram	2	0	1.0
89	Adrammelech	3	0	1.0
90	Adriatic Sea	0	1	0.0
91	Adriel	2	0	1.0
92	Adullam	8	0	1.0
93	Adullamite	3	0	1.0
94	Adummim	2	0	1.0
95	Aenon	0	2	0.0
96	Agag	8	0	1.0
97	Agagite	5	0	1.0
98	Agee	1	0	1.0
99	Agur	1	0	1.0
100	Ahab	91	2	0.978494623655914
101	Aharah	1	0	1.0
102	Aharhel	1	0	1.0
103	Ahasbai	1	0	1.0
104	Ahasuerus	32	0	1.0
105	Ahava	3	0	1.0
106	Ahaz	41	1	0.9761904761904762
107	Ahaziah	34	3	0.918918918918919
108	Ahban	1	0	1.0
109	Ahi	2	0	1.0
110	Ahiam	2	0	1.0
111	Ahian	1	0	1.0
112	Ahiezer	6	0	1.0
113	Ahihud	2	0	1.0
114	Ahijah	19	5	0.7916666666666666
115	Ahikam	20	0	1.0
116	Ahilud	5	0	1.0
117	Ahimaaz	14	1	0.9333333333333333
118	Ahiman	4	0	1.0
119	Ahimelech	14	3	0.8235294117647058
120	Ahimoth	0	1	0.0
121	Ahinadab	1	0	1.0
122	Ahinoam	7	0	1.0
123	Ahio	6	0	1.0
124	Ahira	5	0	1.0
125	Ahiram	1	0	1.0
126	Ahiramite	1	0	1.0
127	Ahisamach	3	0	1.0
128	Ahishahar	1	0	1.0
129	Ahishar	1	0	1.0
130	Ahithophel	20	0	1.0
131	Ahitub	14	1	0.9333333333333333
132	Ahlab	1	0	1.0
133	Ahlai	2	0	1.0
134	Ahoah	1	0	1.0
135	Ahohite	5	0	1.0
136	Ahumai	1	0	1.0
137	Ahuzzam	0	1	0.0
138	Ahuzzath	1	0	1.0
139	Ahzai	0	1	0.0
140	Ai	32	0	1.0
141	Aiah	5	1	0.8333333333333334
142	Aiath	1	0	1.0
143	Aijalon	6	4	0.6
144	Ain	5	0	1.0
