	en	Found	Not_found	Found_ratio
0	Aaron	291	60	0.8290598290598291
1	Abaddon	0	5	0.0
2	Abagtha	1	0	1.0
3	Abarim	4	1	0.8
4	Abda	2	0	1.0
5	Abdeel	1	0	1.0
6	Abdi	2	1	0.6666666666666666
7	Abdiel	1	0	1.0
8	Abdon	8	1	0.8888888888888888
9	Abednego	12	3	0.8
10	Abel	7	2	0.7777777777777778
11	Abel-Beth-Maacah	2	1	0.6666666666666666
12	Abel-Keramim	0	1	0.0
13	Abel-Maim	0	1	0.0
14	Abel-Meholah	2	1	0.6666666666666666
15	Abel-Mizraim	1	0	1.0
16	Abel-Shittim	0	1	0.0
17	Abi	1	0	1.0
18	Abi-Albon	1	0	1.0
19	Abiasaph	1	0	1.0
20	Abiathar	26	4	0.8666666666666667
21	Abida	2	0	1.0
22	Abidan	2	3	0.4
23	Abiel	3	0	1.0
24	Abiezer	7	0	1.0
25	Abiezrite	0	3	0.0
26	Abigail	19	0	1.0
27	Abihail	5	1	0.8333333333333334
28	Abihu	12	0	1.0
29	Abihud	1	0	1.0
30	Abijah	24	4	0.8571428571428571
31	Abijam	0	5	0.0
32	Abilene	0	1	0.0
33	Abimael	2	0	1.0
34	Abimelech	64	3	0.9552238805970149
35	Abinadab	11	1	0.9166666666666666
36	Abinoam	2	2	0.5
37	Abiram	11	0	1.0
38	Abishag	5	0	1.0
39	Abishai	24	1	0.96
40	Abishua	4	1	0.8
41	Abishur	2	0	1.0
42	Abital	2	0	1.0
43	Abitub	0	1	0.0
44	Abiud	0	1	0.0
45	Abner	59	4	0.9365079365079365
46	Abraham	164	13	0.9265536723163842
47	Abram	57	4	0.9344262295081968
48	Abronah	2	0	1.0
49	Absalom	100	11	0.9009009009009009
50	Accad	1	0	1.0
51	Acco	1	0	1.0
52	Achaicus	0	10	0.0
53	Achan	6	0	1.0
54	Achar	1	0	1.0
55	Achbor	5	2	0.7142857142857143
56	Achim	0	2	0.0
57	Achish	18	3	0.8571428571428571
58	Achsah	0	5	0.0
59	Achshaph	0	3	0.0
60	Achzib	0	4	0.0
61	Adadah	1	0	1.0
62	Adah	8	0	1.0
63	Adaiah	7	2	0.7777777777777778
64	Adalia	1	0	1.0
65	Adam	9	3	0.75
66	Adamah	1	0	1.0
67	Adami Nekeb	0	1	0.0
68	Adar	0	2	0.0
69	Adbeel	2	0	1.0
70	Addan	1	0	1.0
71	Addi	0	9	0.0
72	Addon	1	0	1.0
73	Adiel	2	1	0.6666666666666666
74	Adin	3	1	0.75
75	Adina	1	0	1.0
76	Adithaim	1	0	1.0
77	Adlai	1	0	1.0
78	Admah	4	1	0.8
79	Admatha	0	1	0.0
80	Adna	2	0	1.0
81	Adnah	1	1	0.5
82	Adoni-Bezek	2	1	0.6666666666666666
83	Adoni-Zedek	0	2	0.0
84	Adonijah	24	2	0.9230769230769231
85	Adonikam	3	0	1.0
86	Adoniram	2	0	1.0
87	Adoraim	1	0	1.0
88	Adoram	1	1	0.5
89	Adrammelech	3	0	1.0
90	Adriatic Sea	0	1	0.0
91	Adriel	2	0	1.0
92	Adullam	8	0	1.0
93	Adullamite	0	3	0.0
94	Adummim	2	0	1.0
95	Aenon	0	2	0.0
96	Agag	8	0	1.0
97	Agagite	0	5	0.0
98	Agee	1	0	1.0
99	Agur	1	0	1.0
100	Ahab	78	15	0.8387096774193549
101	Aharah	1	0	1.0
102	Aharhel	1	0	1.0
103	Ahasbai	1	0	1.0
104	Ahasuerus	0	32	0.0
105	Ahava	3	0	1.0
106	Ahaz	36	6	0.8571428571428571
107	Ahaziah	32	5	0.8648648648648649
108	Ahban	1	0	1.0
109	Ahi	1	1	0.5
110	Ahiam	2	0	1.0
111	Ahian	1	0	1.0
112	Ahiezer	3	3	0.5
113	Ahihud	1	1	0.5
114	Ahijah	18	6	0.75
115	Ahikam	6	14	0.3
116	Ahilud	5	0	1.0
117	Ahimaaz	14	1	0.9333333333333333
118	Ahiman	4	0	1.0
119	Ahimelech	14	3	0.8235294117647058
120	Ahimoth	0	1	0.0
121	Ahinadab	1	0	1.0
122	Ahinoam	7	0	1.0
123	Ahio	6	0	1.0
124	Ahira	2	3	0.4
125	Ahiram	1	0	1.0
126	Ahiramite	0	1	0.0
127	Ahisamach	3	0	1.0
128	Ahishahar	1	0	1.0
129	Ahishar	1	0	1.0
130	Ahithophel	20	0	1.0
131	Ahitub	11	4	0.7333333333333333
132	Ahlab	1	0	1.0
133	Ahlai	2	0	1.0
134	Ahoah	1	0	1.0
135	Ahohite	0	5	0.0
136	Ahumai	1	0	1.0
137	Ahuzzam	1	0	1.0
138	Ahuzzath	1	0	1.0
139	Ahzai	1	0	1.0
140	Ai	30	2	0.9375
141	Aiah	4	2	0.6666666666666666
142	Aiath	1	0	1.0
143	Aijalon	8	2	0.8
144	Ain	5	0	1.0
145	Akan	1	0	1.0
146	Akkub	8	0	1.0
147	Alemeth	3	1	0.75
148	Alexander	5	0	1.0
149	Alexandrian	0	2	0.0
150	Alian	0	1	0.0
151	Allammelech	1	0	1.0
152	Allon	0	1	0.0
153	Almighty One	2	46	0.041666666666666664
154	Almodad	2	0	1.0
155	Almon	1	0	1.0
156	Almon-Diblathaim	2	0	1.0
157	Alphaeus	2	2	0.5
158	Alush	2	0	1.0
159	Alvah	2	0	1.0
160	Alvan	1	0	1.0
161	Amad	1	0	1.0
162	Amal	1	0	1.0
163	Amalek	35	4	0.8974358974358975
164	Amalekite	0	12	0.0
165	Amam	1	0	1.0
166	Amanah	0	2	0.0
167	Amariah	12	2	0.8571428571428571
168	Amasa	11	1	0.9166666666666666
169	Amasai	2	3	0.4
170	Amashsai	1	0	1.0
171	Amasiah	1	0	1.0
172	Amaziah	40	4	0.9090909090909091
173	Ami	1	0	1.0
174	Amittai	2	0	1.0
175	Ammah	1	0	1.0
176	Ammiel	5	1	0.8333333333333334
177	Ammihud	5	5	0.5
178	Amminadab	7	5	0.5833333333333334
179	Ammishaddai	2	3	0.4
180	Ammizabad	1	0	1.0
181	Ammon	100	6	0.9433962264150944
182	Ammonite	0	22	0.0
183	Amnon	21	1	0.9545454545454546
184	Amok	2	0	1.0
185	Amon	15	3	0.8333333333333334
186	Amorite	0	86	0.0
187	Amos	4	5	0.4444444444444444
188	Amoz	3	10	0.23076923076923078
189	Amram	13	0	1.0
190	Amramite	0	2	0.0
191	Amraphel	2	0	1.0
192	Amzi	1	1	0.5
193	Anab	1	1	0.5
194	Anah	10	0	1.0
195	Anaharath	1	0	1.0
196	Anaiah	1	1	0.5
197	Anak	9	0	1.0
198	Anakim	0	9	0.0
199	Anamim	0	2	0.0
200	Anammelech	1	0	1.0
201	Anan	0	1	0.0
202	Anani	1	0	1.0
203	Ananiah	2	0	1.0
204	Ananias	9	0	1.0
205	Anath	0	2	0.0
