	en	Found	Not_found	Found_ratio
0	Aaron	293	48	0.8592375366568915
1	Abagtha	0	1	0.0
2	Abarim	3	2	0.6
3	Abda	0	2	0.0
4	Abdeel	0	1	0.0
5	Abdi	2	1	0.6666666666666666
6	Abdiel	1	0	1.0
7	Abdon	5	4	0.5555555555555556
8	Abednego	0	15	0.0
9	Abel	7	0	1.0
10	Abel-Beth-Maacah	0	3	0.0
11	Abel-Keramim	0	1	0.0
12	Abel-Maim	0	1	0.0
13	Abel-Meholah	0	3	0.0
14	Abel-Mizraim	0	1	0.0
15	Abel-Shittim	0	1	0.0
16	Abi	0	1	0.0
17	Abi-Albon	0	1	0.0
18	Abiasaph	0	1	0.0
19	Abiathar	29	1	0.9666666666666667
20	Abida	1	1	0.5
21	Abidan	5	0	1.0
22	Abiel	3	0	1.0
23	Abiezer	6	1	0.8571428571428571
24	Abiezrite	0	3	0.0
25	Abigail	0	19	0.0
26	Abihail	0	6	0.0
27	Abihu	0	12	0.0
28	Abihud	0	1	0.0
29	Abijah	0	24	0.0
30	Abijam	0	5	0.0
31	Abimael	1	1	0.5
32	Abimelech	65	2	0.9701492537313433
33	Abinadab	0	12	0.0
34	Abinoam	0	4	0.0
35	Abiram	0	11	0.0
36	Abishag	0	5	0.0
37	Abishai	0	25	0.0
38	Abishua	0	5	0.0
39	Abishur	0	2	0.0
40	Abital	2	0	1.0
41	Abitub	0	1	0.0
42	Abner	0	63	0.0
43	Abraham	4	170	0.022988505747126436
44	Abram	59	2	0.9672131147540983
45	Abronah	0	2	0.0
46	Absalom	0	111	0.0
47	Accad	0	1	0.0
48	Acco	0	1	0.0
49	Achan	0	6	0.0
50	Achar	1	0	1.0
51	Achbor	0	7	0.0
52	Achish	0	19	0.0
53	Achsah	0	5	0.0
54	Achshaph	0	3	0.0
55	Achzib	0	4	0.0
56	Adadah	0	1	0.0
57	Adah	0	8	0.0
58	Adaiah	0	9	0.0
59	Adalia	0	1	0.0
60	Adam	9	3	0.75
61	Adamah	0	1	0.0
62	Adami Nekeb	0	1	0.0
63	Adar	0	2	0.0
64	Adbeel	0	2	0.0
65	Addan	0	1	0.0
66	Addon	0	1	0.0
67	Adiel	1	2	0.3333333333333333
68	Adin	1	3	0.25
69	Adina	1	0	1.0
70	Adithaim	0	1	0.0
71	Adlai	0	1	0.0
72	Admah	0	5	0.0
73	Admatha	0	1	0.0
74	Adna	0	2	0.0
75	Adnah	0	2	0.0
76	Adoni-Bezek	0	3	0.0
77	Adoni-Zedek	0	2	0.0
78	Adonijah	0	26	0.0
79	Adonikam	0	3	0.0
80	Adoniram	2	0	1.0
81	Adoraim	0	1	0.0
82	Adoram	0	2	0.0
83	Adrammelech	0	3	0.0
84	Adriel	0	2	0.0
85	Adullam	0	8	0.0
86	Adullamite	0	3	0.0
87	Adummim	0	2	0.0
88	Agag	7	1	0.875
89	Agagite	0	5	0.0
90	Agee	0	1	0.0
91	Agur	0	1	0.0
92	Ahab	0	93	0.0
93	Aharah	0	1	0.0
94	Aharhel	0	1	0.0
95	Ahasbai	0	1	0.0
96	Ahasuerus	0	32	0.0
97	Ahava	0	3	0.0
98	Ahaz	0	41	0.0
99	Ahaziah	0	37	0.0
100	Ahban	0	1	0.0
101	Ahi	0	2	0.0
102	Ahiam	0	2	0.0
103	Ahian	0	1	0.0
104	Ahiezer	0	6	0.0
105	Ahihud	0	2	0.0
106	Ahijah	0	24	0.0
107	Ahikam	0	18	0.0
108	Ahilud	0	5	0.0
109	Ahimaaz	0	15	0.0
110	Ahiman	0	4	0.0
111	Ahimelech	0	17	0.0
112	Ahimoth	0	1	0.0
113	Ahinadab	0	1	0.0
114	Ahinoam	0	7	0.0
115	Ahio	0	6	0.0
116	Ahira	0	5	0.0
117	Ahiram	0	1	0.0
118	Ahiramite	0	1	0.0
119	Ahisamach	0	3	0.0
120	Ahishahar	0	1	0.0
121	Ahishar	0	1	0.0
122	Ahithophel	0	20	0.0
123	Ahitub	0	15	0.0
124	Ahlab	0	1	0.0
125	Ahlai	0	2	0.0
126	Ahoah	0	1	0.0
127	Ahohite	0	5	0.0
128	Ahumai	0	1	0.0
129	Ahuzzam	0	1	0.0
130	Ahuzzath	0	1	0.0
131	Ahzai	0	1	0.0
132	Ai	26	6	0.8125
133	Aiah	0	6	0.0
134	Aiath	0	1	0.0
135	Aijalon	0	10	0.0
136	Ain	1	4	0.2
137	Akan	0	1	0.0
138	Akkub	0	8	0.0
139	Alemeth	1	3	0.25
140	Alian	0	1	0.0
141	Allammelech	0	1	0.0
142	Allon	0	1	0.0
143	Almighty One	1	47	0.020833333333333332
144	Almodad	0	2	0.0
145	Almon	0	1	0.0
146	Almon-Diblathaim	0	2	0.0
147	Alush	0	2	0.0
148	Alvah	0	2	0.0
149	Alvan	0	1	0.0
150	Amad	0	1	0.0
151	Amal	1	0	1.0
152	Amalek	4	35	0.10256410256410256
153	Amalekite	5	7	0.4166666666666667
154	Amam	0	1	0.0
155	Amanah	0	2	0.0
156	Amariah	0	14	0.0
157	Amasa	0	12	0.0
158	Amasai	1	4	0.2
159	Amashsai	0	1	0.0
160	Amasiah	0	1	0.0
161	Amaziah	0	44	0.0
162	Ami	0	1	0.0
163	Amittai	0	2	0.0
164	Ammah	0	1	0.0
165	Ammiel	0	6	0.0
166	Ammihud	0	10	0.0
167	Amminadab	0	12	0.0
168	Ammishaddai	0	5	0.0
169	Ammizabad	0	1	0.0
170	Ammon	85	19	0.8173076923076923
171	Ammonite	5	17	0.22727272727272727
172	Amnon	19	3	0.8636363636363636
173	Amok	0	2	0.0
174	Amon	7	10	0.4117647058823529
175	Amorite	76	9	0.8941176470588236
176	Amos	7	0	1.0
177	Amoz	0	13	0.0
178	Amram	4	9	0.3076923076923077
179	Amramite	0	2	0.0
180	Amraphel	0	2	0.0
181	Amzi	0	2	0.0
182	Anab	1	1	0.5
183	Anah	0	10	0.0
184	Anaharath	0	1	0.0
185	Anaiah	0	2	0.0
186	Anak	0	9	0.0
187	Anakim	0	9	0.0
188	Anamim	0	2	0.0
189	Anammelech	0	1	0.0
190	Anan	0	1	0.0
191	Anani	0	1	0.0
192	Ananiah	0	2	0.0
193	Anath	1	1	0.5
194	Anathoth	9	3	0.75
195	Anathothite	1	3	0.25
196	Anem	0	1	0.0
197	Aner	0	3	0.0
198	Aniam	0	1	0.0
199	Anim	0	1	0.0
200	Anthothijah	0	1	0.0
201	Anub	0	1	0.0
202	Aphek	0	7	0.0
203	Aphekah	0	1	0.0
204	Aphiah	0	1	0.0
205	Aphik	0	1	0.0
206	Appaim	0	2	0.0
207	Ar	5	1	0.8333333333333334
208	Ara	1	0	1.0
209	Arab	8	3	0.7272727272727273
210	Arabah	0	24	0.0
211	Arabia	2	2	0.5
212	Arad	3	2	0.6
213	Arah	0	4	0.0
214	Aram	9	113	0.07377049180327869
215	Aram of Damascus	0	3	0.0
216	Aram-zobah	0	3	0.0
217	Aramaic	0	4	0.0
218	Aramean	0	12	0.0
219	Aran	2	0	1.0
220	Ararat	1	3	0.25
221	Araunah	0	7	0.0
222	Arbathite	0	2	0.0
223	Arbite	0	1	0.0
224	Ard	0	2	0.0
225	Ardite	0	1	0.0
226	Ardon	1	0	1.0
227	Areli	0	2	0.0
228	Arelite	0	1	0.0
229	Argob	4	1	0.8
230	Aridai	0	1	0.0
231	Aridatha	0	1	0.0
232	Arieh	0	1	0.0
233	Ariel	4	0	1.0
234	Arioch	6	0	1.0
235	Arisai	0	1	0.0
236	Arkite	0	8	0.0
237	Armoni	0	1	0.0
238	Arnan	0	1	0.0
239	Arnon	21	1	0.9545454545454546
240	Arod	0	1	0.0
241	Arodi	0	1	0.0
242	Arodite	0	1	0.0
243	Aroer	10	1	0.9090909090909091
244	Aroerite	0	1	0.0
245	Arpachshad	0	9	0.0
246	Arpad	0	5	0.0
247	Artaxerxes	0	16	0.0
248	Arubboth	0	1	0.0
249	Arumah	0	1	0.0
250	Arvad	0	2	0.0
251	Arvadite	0	2	0.0
252	Arza	0	1	0.0
253	Asa	42	10	0.8076923076923077
254	Asahel	0	17	0.0
255	Asaiah	0	8	0.0
256	Asaph	25	16	0.6097560975609756
257	Asarel	0	1	0.0
258	Asarelah	0	1	0.0
259	Ascent of Akrabbim	0	3	0.0
260	Asenath	0	3	0.0
261	Ashan	0	4	0.0
262	Ashbel	0	3	0.0
263	Ashbelite	0	1	0.0
264	Ashdod	0	14	0.0
265	Ashdodite	0	7	0.0
266	Asher	0	43	0.0
267	Asherah	0	7	0.0
268	Asherite	0	1	0.0
269	Ashhur	0	2	0.0
270	Ashima	0	1	0.0
271	Ashkelon	0	10	0.0
272	Ashkelonite	0	1	0.0
273	Ashkenaz	0	3	0.0
274	Ashnah	0	2	0.0
275	Ashpenaz	0	1	0.0
276	Ashtaroth	0	6	0.0
277	Ashterathite	0	1	0.0
278	Ashteroth-Karnaim	0	1	0.0
279	Ashtoreth	0	9	0.0
280	Ashurite	0	1	0.0
281	Ashvath	0	1	0.0
282	Asiel	1	0	1.0
283	Asnah	0	1	0.0
284	Aspatha	0	1	0.0
285	Asriel	0	3	0.0
286	Asrielite	0	1	0.0
287	Asshur	0	2	0.0
288	Asshurim	0	1	0.0
289	Assir	0	4	0.0
290	Assyria	125	17	0.8802816901408451
291	Atarah	0	1	0.0
292	Ataroth	2	0	1.0
293	Ataroth-Addar	0	2	0.0
294	Ater	4	1	0.8
295	Athach	0	1	0.0
296	Athaiah	0	1	0.0
297	Athaliah	0	17	0.0
298	Atharim	0	1	0.0
299	Athlai	0	1	0.0
300	Atroth Beth Joab	0	1	0.0
301	Atroth-Shophan	0	1	0.0
302	Attai	0	4	0.0
303	Avith	0	2	0.0
304	Avva	0	1	0.0
305	Avvim	0	4	0.0
306	Ayyah	0	2	0.0
307	Azaliah	0	2	0.0
308	Azaniah	0	1	0.0
309	Azarel	0	6	0.0
310	Azariah	0	48	0.0
311	Azaz	0	1	0.0
312	Azaziah	0	3	0.0
313	Azbuk	0	1	0.0
314	Azekah	0	6	0.0
315	Azel	0	7	0.0
316	Azgad	0	4	0.0
317	Aziel	0	1	0.0
318	Aziza	0	1	0.0
319	Azmaveth	0	8	0.0
320	Azmon	0	3	0.0
321	Aznoth-Tabor	0	1	0.0
322	Azriel	0	3	0.0
323	Azrikam	0	6	0.0
324	Azubah	0	4	0.0
325	Azzan	0	1	0.0
326	Azzur	0	3	0.0
327	Baal	69	12	0.8518518518518519
328	Baal-Berith	0	2	0.0
329	Baal-Gad	0	3	0.0
330	Baal-Hamon	0	1	0.0
331	Baal-Hanan	0	5	0.0
332	Baal-Hazor	0	1	0.0
333	Baal-Hermon	0	2	0.0
334	Baal-Meon	0	3	0.0
335	Baal-Peor	0	6	0.0
336	Baal-Perazim	0	2	0.0
337	Baal-Shalishah	0	1	0.0
338	Baal-Tamar	0	1	0.0
339	Baal-Zephon	0	3	0.0
340	Baal-zebub	0	4	0.0
341	Baalah	0	5	0.0
342	Baalath	0	3	0.0
343	Baalath-Beer	0	1	0.0
344	Baale-Judah	0	1	0.0
345	Baana	1	1	0.5
346	Baanah	0	10	0.0
347	Baara	0	1	0.0
348	Baaseiah	0	1	0.0
349	Baasha	0	28	0.0
350	Babel	0	214	0.0
351	Babylonian	1	0	1.0
352	Baharumite	0	1	0.0
353	Bahurim	0	5	0.0
354	Bakbakkar	0	1	0.0
355	Bakbuk	0	2	0.0
356	Bakbukiah	0	3	0.0
357	Balaam	54	2	0.9642857142857143
358	Baladan	2	0	1.0
359	Balah	0	1	0.0
360	Balak	0	40	0.0
361	Bamoth	1	1	0.5
362	Bamoth Baal	0	2	0.0
363	Bani	4	10	0.2857142857142857
364	Barachel	0	2	0.0
365	Barak	0	13	0.0
366	Bariah	0	1	0.0
367	Barkos	0	2	0.0
368	Baruch	2	16	0.1111111111111111
369	Barzillai	0	10	0.0
370	Basemath	6	1	0.8571428571428571
371	Bashan	0	56	0.0
372	Bath-shua	0	2	0.0
373	Bathsheba	0	11	0.0
374	Bavvai	0	1	0.0
375	Bazlith	0	1	0.0
376	Bazluth	0	1	0.0
377	Bealiah	0	1	0.0
378	Bealoth	0	2	0.0
379	Bebai	0	5	0.0
380	Becher	0	4	0.0
381	Becherite	0	1	0.0
382	Becorath	0	1	0.0
383	Bedad	0	2	0.0
384	Bedan	0	2	0.0
385	Bediah	0	1	0.0
386	Beeliada	0	1	0.0
387	Beer	0	2	0.0
388	Beer-Elim	0	1	0.0
389	Beer-Lahai-Roi	0	3	0.0
390	Beerah	0	1	0.0
391	Beeri	1	1	0.5
392	Beeroth	1	4	0.2
393	Beeroth Benejaakan	0	1	0.0
394	Beersheba	0	34	0.0
395	Beeshterah	0	1	0.0
396	Bel	1	1	0.5
397	Bela	0	14	0.0
398	Belaite	0	1	0.0
399	Belshazzar	0	8	0.0
400	Belteshazzar	0	10	0.0
401	Ben	0	1	0.0
402	Ben-Abinadab	0	1	0.0
403	Ben-Ammi	0	1	0.0
404	Ben-Deker	0	1	0.0
405	Ben-Geber	0	1	0.0
406	Ben-Hadad	0	19	0.0
407	Ben-Hail	0	1	0.0
408	Ben-Hanan	0	1	0.0
409	Ben-Hesed	0	1	0.0
410	Ben-Hur	0	1	0.0
411	Ben-Oni	0	1	0.0
412	Ben-Zoheth	0	1	0.0
413	Benaiah	0	39	0.0
414	Bene Jaakan	0	2	0.0
415	Bene-Berak	0	1	0.0
416	Beninu	0	1	0.0
417	Benjamin	137	20	0.8726114649681529
418	Benjaminite	0	13	0.0
419	Beon	0	1	0.0
420	Beor	7	3	0.7
421	Bera	0	2	0.0
422	Beracah	0	1	0.0
423	Beraiah	0	1	0.0
424	Berechiah	0	7	0.0
425	Bered	0	2	0.0
426	Berekiah	0	4	0.0
427	Beri	0	1	0.0
428	Beriah	0	10	0.0
429	Beriites	0	1	0.0
430	Berites	0	1	0.0
431	Berothah	0	1	0.0
432	Berothai	0	1	0.0
433	Besai	0	2	0.0
434	Besodeiah	0	1	0.0
435	Besor	0	3	0.0
436	Betah	0	1	0.0
437	Beten	0	1	0.0
438	Beth Zur	0	4	0.0
439	Beth-Anath	0	2	0.0
440	Beth-Anoth	0	1	0.0
441	Beth-Arabah	0	3	0.0
442	Beth-Arbel	0	1	0.0
443	Beth-Ashbea	0	1	0.0
