	en	Found	Not_found	Found_ratio
0	Aaron	327	24	0.9316239316239316
1	Abaddon	0	5	0.0
2	Abarim	5	0	1.0
3	Abda	2	0	1.0
4	Abdeel	1	0	1.0
5	Abdi	2	1	0.6666666666666666
6	Abdiel	1	0	1.0
7	Abdon	7	2	0.7777777777777778
8	Abel	7	2	0.7777777777777778
9	Abel-Beth-Maacah	0	3	0.0
10	Abel-Keramim	0	1	0.0
11	Abel-Maim	0	1	0.0
12	Abel-Meholah	0	3	0.0
13	Abel-Mizraim	0	1	0.0
14	Abel-Shittim	0	1	0.0
15	Abi	1	0	1.0
16	Abi-Albon	0	1	0.0
17	Abiasaph	1	0	1.0
18	Abiathar	29	1	0.9666666666666667
19	Abida	2	0	1.0
20	Abidan	5	0	1.0
21	Abiel	3	0	1.0
22	Abiezer	7	0	1.0
23	Abiezrite	3	0	1.0
24	Abigail	19	0	1.0
25	Abihail	4	0	1.0
26	Abihu	12	0	1.0
27	Abihud	1	0	1.0
28	Abijah	25	3	0.8928571428571429
29	Abijam	5	0	1.0
30	Abilene	0	1	0.0
31	Abimael	2	0	1.0
32	Abimelech	66	1	0.9850746268656716
33	Abinadab	12	0	1.0
34	Abinoam	4	0	1.0
35	Abiram	11	0	1.0
36	Abishag	5	0	1.0
37	Abishai	24	1	0.96
38	Abishua	4	1	0.8
39	Abishur	2	0	1.0
40	Abital	2	0	1.0
41	Abitub	1	0	1.0
42	Abiud	0	1	0.0
43	Abner	63	0	1.0
44	Abraham	173	4	0.9774011299435028
45	Abram	61	0	1.0
46	Abronah	2	0	1.0
47	Absalom	103	8	0.9279279279279279
48	Accad	1	0	1.0
49	Acco	1	0	1.0
50	Achaicus	0	10	0.0
51	Achan	6	0	1.0
52	Achar	1	0	1.0
53	Achbor	7	0	1.0
54	Achim	0	2	0.0
55	Achish	19	2	0.9047619047619048
56	Achsah	5	0	1.0
57	Achshaph	3	0	1.0
58	Achzib	4	0	1.0
59	Adadah	1	0	1.0
60	Adah	8	0	1.0
61	Adaiah	8	1	0.8888888888888888
62	Adam	12	0	1.0
63	Adamah	1	0	1.0
64	Adami Nekeb	0	1	0.0
65	Adar	0	2	0.0
66	Adbeel	2	0	1.0
67	Addan	1	0	1.0
68	Addi	0	9	0.0
69	Addon	1	0	1.0
70	Adiel	3	0	1.0
71	Adin	3	1	0.75
72	Adina	1	0	1.0
73	Adithaim	1	0	1.0
74	Adlai	1	0	1.0
75	Admah	4	1	0.8
76	Adna	2	0	1.0
77	Adnah	1	1	0.5
78	Adoni-Bezek	3	0	1.0
79	Adoni-Zedek	2	0	1.0
80	Adonijah	25	1	0.9615384615384616
81	Adonikam	3	0	1.0
82	Adoniram	2	0	1.0
83	Adoraim	1	0	1.0
84	Adoram	2	0	1.0
85	Adrammelech	3	0	1.0
86	Adriatic Sea	0	1	0.0
87	Adriel	2	0	1.0
88	Adullam	8	0	1.0
89	Adullamite	3	0	1.0
90	Adummim	2	0	1.0
91	Aenon	0	2	0.0
92	Agag	8	0	1.0
93	Agee	1	0	1.0
94	Agur	1	0	1.0
95	Ahab	91	2	0.978494623655914
96	Aharah	1	0	1.0
97	Aharhel	1	0	1.0
98	Ahasbai	1	0	1.0
99	Ahasuerus	1	0	1.0
100	Ahava	3	0	1.0
101	Ahaz	41	1	0.9761904761904762
102	Ahaziah	34	3	0.918918918918919
103	Ahban	1	0	1.0
104	Ahi	2	0	1.0
105	Ahiam	2	0	1.0
106	Ahian	1	0	1.0
107	Ahiezer	6	0	1.0
108	Ahihud	2	0	1.0
109	Ahijah	23	1	0.9583333333333334
110	Ahikam	20	0	1.0
111	Ahilud	5	0	1.0
112	Ahimaaz	14	1	0.9333333333333333
113	Ahiman	4	0	1.0
114	Ahimelech	14	3	0.8235294117647058
115	Ahimoth	0	1	0.0
116	Ahinadab	1	0	1.0
117	Ahinoam	7	0	1.0
118	Ahio	6	0	1.0
119	Ahira	5	0	1.0
120	Ahiram	1	0	1.0
121	Ahiramite	1	0	1.0
122	Ahisamach	3	0	1.0
123	Ahishahar	1	0	1.0
124	Ahishar	1	0	1.0
125	Ahithophel	20	0	1.0
126	Ahitub	14	1	0.9333333333333333
127	Ahlab	1	0	1.0
128	Ahlai	2	0	1.0
129	Ahoah	1	0	1.0
130	Ahohite	5	0	1.0
131	Ahumai	1	0	1.0
132	Ahuzzam	1	0	1.0
133	Ahuzzath	1	0	1.0
134	Ahzai	1	0	1.0
135	Ai	31	1	0.96875
136	Aiah	6	0	1.0
137	Aiath	1	0	1.0
138	Aijalon	9	1	0.9
139	Ain	5	0	1.0
140	Akan	1	0	1.0
141	Akkub	8	0	1.0
142	Alemeth	3	1	0.75
143	Alexander	5	0	1.0
144	Alexandrian	2	0	1.0
145	Alian	1	0	1.0
