	en	Found	Not_found	Found_ratio
0	Aaron	300	50	0.8571428571428571
1	Abaddon	0	5	0.0
2	Abagtha	0	1	0.0
3	Abarim	4	1	0.8
4	Abda	2	0	1.0
5	Abdeel	1	0	1.0
6	Abdi	2	1	0.6666666666666666
7	Abdiel	1	0	1.0
8	Abdon	6	3	0.6666666666666666
9	Abednego	0	15	0.0
10	Abel	7	2	0.7777777777777778
11	Abel-Beth-Maacah	0	3	0.0
12	Abel-Keramim	0	1	0.0
13	Abel-Maim	0	1	0.0
14	Abel-Meholah	0	3	0.0
15	Abel-Mizraim	0	1	0.0
16	Abel-Shittim	0	1	0.0
17	Abi	1	0	1.0
18	Abi-Albon	0	1	0.0
19	Abiasaph	1	0	1.0
20	Abiathar	28	2	0.9333333333333333
21	Abida	2	0	1.0
22	Abidan	5	0	1.0
23	Abiel	3	0	1.0
24	Abiezer	7	0	1.0
25	Abiezrite	0	3	0.0
26	Abigail	19	0	1.0
27	Abihail	5	1	0.8333333333333334
28	Abihu	0	12	0.0
29	Abihud	0	1	0.0
30	Abijah	0	28	0.0
31	Abijam	0	5	0.0
32	Abilene	0	1	0.0
33	Abimael	2	0	1.0
34	Abimelech	53	14	0.7910447761194029
35	Abinadab	12	0	1.0
36	Abinoam	0	4	0.0
37	Abiram	1	10	0.09090909090909091
38	Abishag	0	5	0.0
39	Abishai	0	25	0.0
40	Abishua	0	5	0.0
41	Abishur	0	2	0.0
42	Abital	2	0	1.0
43	Abitub	0	1	0.0
44	Abiud	0	1	0.0
45	Abner	61	2	0.9682539682539683
46	Abraham	140	36	0.7954545454545454
47	Abram	49	12	0.8032786885245902
48	Abronah	0	2	0.0
49	Absalom	93	18	0.8378378378378378
50	Accad	0	1	0.0
51	Acco	0	1	0.0
52	Achaicus	1	9	0.1
53	Achan	6	0	1.0
54	Achar	1	0	1.0
55	Achbor	0	7	0.0
56	Achim	0	2	0.0
57	Achish	0	21	0.0
58	Achsah	0	5	0.0
59	Achshaph	0	3	0.0
60	Achzib	2	2	0.5
61	Adadah	0	1	0.0
62	Adah	0	8	0.0
63	Adaiah	0	9	0.0
64	Adalia	1	0	1.0
65	Adam	10	2	0.8333333333333334
66	Adamah	0	1	0.0
67	Adami Nekeb	0	1	0.0
68	Adar	0	2	0.0
69	Adbeel	2	0	1.0
70	Addan	0	1	0.0
71	Addi	0	9	0.0
72	Addon	1	0	1.0
73	Adiel	3	0	1.0
74	Adin	2	2	0.5
75	Adina	1	0	1.0
76	Adithaim	1	0	1.0
77	Adlai	0	1	0.0
78	Admah	0	5	0.0
79	Admatha	1	0	1.0
80	Adna	0	2	0.0
81	Adnah	0	2	0.0
82	Adoni-Bezek	0	3	0.0
83	Adoni-Zedek	0	2	0.0
84	Adonijah	0	26	0.0
85	Adonikam	0	3	0.0
86	Adoniram	2	0	1.0
87	Adoraim	0	1	0.0
88	Adoram	0	2	0.0
89	Adrammelech	0	3	0.0
90	Adriatic Sea	0	1	0.0
91	Adriel	2	0	1.0
92	Adullam	1	7	0.125
93	Adullamite	0	3	0.0
94	Adummim	0	2	0.0
95	Aenon	0	2	0.0
96	Agag	7	1	0.875
97	Agagite	1	4	0.2
98	Agee	0	1	0.0
99	Agur	0	1	0.0
100	Ahab	0	93	0.0
101	Aharah	0	1	0.0
102	Aharhel	0	1	0.0
103	Ahasbai	0	1	0.0
104	Ahasuerus	0	32	0.0
105	Ahava	3	0	1.0
106	Ahaz	3	39	0.07142857142857142
107	Ahaziah	0	37	0.0
108	Ahban	0	1	0.0
109	Ahi	1	1	0.5
110	Ahiam	0	2	0.0
111	Ahian	0	1	0.0
112	Ahiezer	5	1	0.8333333333333334
113	Ahihud	0	2	0.0
114	Ahijah	0	24	0.0
115	Ahikam	0	20	0.0
116	Ahilud	5	0	1.0
117	Ahimaaz	0	15	0.0
118	Ahiman	3	1	0.75
119	Ahimelech	3	14	0.17647058823529413
120	Ahimoth	0	1	0.0
121	Ahinadab	0	1	0.0
122	Ahinoam	0	7	0.0
123	Ahio	5	1	0.8333333333333334
124	Ahira	5	0	1.0
125	Ahiram	1	0	1.0
126	Ahiramite	1	0	1.0
127	Ahisamach	0	3	0.0
128	Ahishahar	0	1	0.0
129	Ahishar	0	1	0.0
130	Ahithophel	0	20	0.0
131	Ahitub	0	15	0.0
132	Ahlab	0	1	0.0
133	Ahlai	0	2	0.0
134	Ahoah	0	1	0.0
135	Ahohite	5	0	1.0
136	Ahumai	1	0	1.0
137	Ahuzzam	0	1	0.0
138	Ahuzzath	0	1	0.0
139	Ahzai	0	1	0.0
140	Ai	29	3	0.90625
141	Aiah	0	6	0.0
142	Aiath	1	0	1.0
143	Aijalon	0	10	0.0
144	Ain	3	2	0.6
145	Akan	0	1	0.0
146	Akkub	0	8	0.0
147	Alemeth	0	4	0.0
148	Alexander	5	0	1.0
149	Alexandrian	1	1	0.5
150	Alian	1	0	1.0
151	Allammelech	0	1	0.0
