	en	Found	Not_found	Found_ratio
0	Abaddon	0	2	0.0
1	Abel	5	2	0.7142857142857143
2	Abiathar	1	0	1.0
3	Abiel	0	1	0.0
4	Abigail	8	3	0.7272727272727273
5	Abijah	2	2	0.5
6	Abilene	0	1	0.0
7	Abimael	0	1	0.0
8	Abimelech	0	18	0.0
9	Abinadab	3	0	1.0
10	Abishai	6	4	0.6
11	Abner	8	0	1.0
12	Abraham	61	10	0.8591549295774648
13	Abram	44	15	0.7457627118644068
14	Absalom	39	7	0.8478260869565217
15	Accad	0	1	0.0
16	Achaicus	0	6	0.0
17	Achim	0	2	0.0
18	Adah	3	0	1.0
19	Adam	5	3	0.625
20	Addi	0	8	0.0
21	Admah	0	3	0.0
22	Adriatic Sea	0	1	0.0
23	Aenon	0	2	0.0
24	Agag	6	1	0.8571428571428571
25	Ahaz	0	1	0.0
26	Ahimelech	0	10	0.0
27	Ahinoam	2	0	1.0
28	Ahithophel	0	12	0.0
29	Ahitub	2	2	0.5
30	Ai	0	2	0.0
31	Alexander	5	0	1.0
32	Alexandrian	0	2	0.0
33	Almighty One	0	1	0.0
34	Almodad	1	0	1.0
35	Alphaeus	0	2	0.0
36	Amalek	10	2	0.8333333333333334
37	Amalekite	0	3	0.0
38	Ammon	4	0	1.0
39	Ammonite	0	2	0.0
40	Amorite	0	5	0.0
41	Amos	0	2	0.0
42	Amraphel	0	2	0.0
43	Anamim	0	1	0.0
44	Ananias	9	0	1.0
45	Andronicus	0	11	0.0
46	Aner	2	0	1.0
47	Anna	3	0	1.0
48	Antioch	14	1	0.9333333333333333
49	Antipas	0	1	0.0
50	Antipatris	0	4	0.0
51	Aphek	0	1	0.0
52	Aphiah	0	1	0.0
53	Apollos	0	1	0.0
54	Apphia	0	1	0.0
55	Aram	2	3	0.4
56	Ararat	1	0	1.0
57	Archippus	0	5	0.0
58	Areopagus	0	1	0.0
59	Arioch	0	2	0.0
60	Aristobulus	0	2	0.0
61	Arkite	0	5	0.0
62	Armageddon	0	5	0.0
63	Arpachshad	0	6	0.0
64	Arvadite	0	1	0.0
65	Ashdod	2	2	0.5
66	Ashdodite	0	2	0.0
67	Asher	0	2	0.0
68	Ashkenaz	0	1	0.0
69	Ashteroth-Karnaim	0	1	0.0
70	Ashtoreth	0	3	0.0
71	Ashurite	0	1	0.0
72	Asia	1	0	1.0
73	Asian	0	1	0.0
74	Asshur	1	0	1.0
75	Assyria	2	0	1.0
76	Asyncritus	0	2	0.0
77	Athens	2	0	1.0
78	Augustus	0	1	0.0
79	Azekah	1	0	1.0
80	Baal	1	0	1.0
81	Babel	2	0	1.0
82	Bahurim	1	0	1.0
83	Balaam	0	6	0.0
84	Balak	0	2	0.0
85	Bar-Jesus	0	2	0.0
86	Bar-Jona	0	1	0.0
87	Barachiah	0	5	0.0
88	Barsabbas	2	27	0.06896551724137931
89	Bartimaeus	0	1	0.0
90	Bathsheba	2	0	1.0
91	Becorath	1	0	1.0
92	Beer-Lahai-Roi	0	1	0.0
93	Beersheba	5	4	0.5555555555555556
94	Bela	0	2	0.0
95	Beliar	0	2	0.0
96	Ben-Ammi	1	0	1.0
97	Benjamin	4	0	1.0
98	Benjaminite	0	2	0.0
99	Beor	0	1	0.0
100	Bera	0	1	0.0
101	Berean	0	3	0.0
102	Bered	1	0	1.0
103	Bernice	0	2	0.0
104	Beth-Car	1	0	1.0
105	Beth-Shan	2	0	1.0
106	Bethany	1	2	0.3333333333333333
107	Bethel	2	0	1.0
108	Bethlehem	3	2	0.6
109	Bethlehemite	0	2	0.0
110	Bethphage	0	5	0.0
111	Bethsaida	0	8	0.0
112	Bethzatha	0	8	0.0
113	Bezek	1	0	1.0
114	Birsha	0	1	0.0
115	Caesar	15	0	1.0
116	Caesarea	1	0	1.0
117	Cain	13	0	1.0
118	Cainan	0	1	0.0
119	Calah	2	0	1.0
120	Calebite	0	1	0.0
121	Calneh	0	1	0.0
122	Canaan	9	4	0.6923076923076923
123	Canaanite	0	5	0.0
124	Candace	0	4	0.0
125	Capernaum	0	1	0.0
126	Caphtorim	0	1	0.0
127	Cappadocia	0	1	0.0
128	Carmel	3	2	0.6
129	Carpus	0	1	0.0
130	Casluhim	0	1	0.0
131	Chaldea	0	3	0.0
132	Chedorlaomer	0	5	0.0
133	Chuza	0	1	0.0
134	Claudia	0	1	0.0
135	Claudius	2	1	0.6666666666666666
136	Clement	0	1	0.0
