	en	Found	Not_found	Found_ratio
0	Aaron	254	47	0.8438538205980066
1	Abaddon	0	1	0.0
2	Abarim	0	4	0.0
3	Abel	5	2	0.7142857142857143
4	Abel-Mizraim	0	1	0.0
5	Abel-Shittim	0	1	0.0
6	Abiasaph	0	1	0.0
7	Abida	1	0	1.0
8	Abidan	5	0	1.0
9	Abihail	0	1	0.0
10	Abihu	0	9	0.0
11	Abijah	0	3	0.0
12	Abilene	0	1	0.0
13	Abimael	0	1	0.0
14	Abimelech	0	24	0.0
15	Abiram	0	9	0.0
16	Abiud	0	1	0.0
17	Abraham	118	35	0.7712418300653595
18	Abram	50	9	0.847457627118644
19	Abronah	0	2	0.0
20	Accad	0	1	0.0
21	Achbor	0	2	0.0
22	Achim	0	2	0.0
23	Adah	0	8	0.0
24	Adam	8	0	1.0
25	Adbeel	0	1	0.0
26	Addi	0	1	0.0
27	Admah	0	4	0.0
28	Adullamite	0	3	0.0
29	Agag	1	0	1.0
30	Ahiezer	0	5	0.0
31	Ahihud	0	1	0.0
32	Ahiman	0	1	0.0
33	Ahira	2	3	0.4
34	Ahiram	1	0	1.0
35	Ahiramite	0	1	0.0
36	Ahisamach	0	3	0.0
37	Ahuzzath	0	1	0.0
38	Ai	0	2	0.0
39	Aiah	0	1	0.0
40	Ain	0	1	0.0
41	Akan	0	1	0.0
42	Alexander	0	1	0.0
43	Almighty One	0	9	0.0
44	Almodad	0	1	0.0
45	Almon-Diblathaim	0	2	0.0
46	Alphaeus	0	3	0.0
47	Alush	0	2	0.0
48	Alvah	0	1	0.0
49	Alvan	0	1	0.0
50	Amalek	0	14	0.0
51	Amalekite	0	4	0.0
52	Ammiel	0	1	0.0
53	Ammihud	0	7	0.0
54	Amminadab	0	6	0.0
55	Ammishaddai	0	5	0.0
56	Ammon	0	8	0.0
57	Ammonite	0	2	0.0
58	Amorite	0	39	0.0
59	Amos	0	2	0.0
60	Amram	6	0	1.0
61	Amramite	0	1	0.0
62	Amraphel	0	2	0.0
63	Anah	0	7	0.0
64	Anak	0	4	0.0
65	Anakim	0	5	0.0
66	Anamim	0	1	0.0
67	Andronicus	0	12	0.0
68	Aner	2	0	1.0
69	Anna	3	0	1.0
70	Ar	4	1	0.8
71	Arabah	0	8	0.0
72	Arad	2	0	1.0
73	Aram	2	2	0.5
74	Aramean	0	6	0.0
75	Aran	1	0	1.0
76	Ararat	0	1	0.0
77	Archelaus	0	1	0.0
78	Ard	0	2	0.0
79	Ardite	0	1	0.0
80	Areli	1	1	0.5
81	Arelite	0	1	0.0
82	Argob	3	0	1.0
83	Arioch	0	2	0.0
84	Aristobulus	0	4	0.0
85	Arkite	0	1	0.0
86	Arnon	11	1	0.9166666666666666
87	Arod	1	0	1.0
88	Arodi	1	0	1.0
89	Arodite	0	1	0.0
90	Aroer	4	0	1.0
91	Arpachshad	0	6	0.0
92	Artemas	0	1	0.0
93	Arvadite	0	1	0.0
94	Ascent of Akrabbim	0	1	0.0
95	Asenath	0	3	0.0
96	Ashbel	0	2	0.0
97	Ashbelite	0	1	0.0
98	Asher	0	22	0.0
99	Ashkenaz	0	1	0.0
100	Ashtaroth	0	1	0.0
101	Ashteroth-Karnaim	0	1	0.0
102	Asian	0	1	0.0
103	Asriel	0	1	0.0
104	Asrielite	0	1	0.0
105	Asshur	0	1	0.0
106	Asshurim	0	1	0.0
107	Assir	0	1	0.0
108	Assyria	0	5	0.0
109	Ataroth	0	2	0.0
110	Atharim	0	1	0.0
111	Atroth-Shophan	0	1	0.0
112	Avith	0	1	0.0
113	Avvim	0	1	0.0
114	Azmon	0	2	0.0
115	Azzan	0	1	0.0
116	Baal-Hanan	0	2	0.0
117	Baal-Meon	0	1	0.0
118	Baal-Peor	0	4	0.0
119	Baal-Zephon	0	3	0.0
120	Babel	1	1	0.5
121	Balaam	37	18	0.6727272727272727
122	Balak	0	37	0.0
123	Bamoth	2	0	1.0
124	Bamoth Baal	0	1	0.0
125	Bar-Jesus	0	3	0.0
126	Barachiah	0	11	0.0
127	Barak	0	1	0.0
128	Barnabas	0	1	0.0
129	Basemath	0	6	0.0
130	Bashan	0	19	0.0
131	Becher	0	2	0.0
132	Becherite	0	1	0.0
133	Bedad	0	1	0.0
134	Beer	0	1	0.0
135	Beer-Lahai-Roi	0	3	0.0
136	Beeri	1	0	1.0
137	Beeroth Benejaakan	0	1	0.0
138	Beersheba	0	11	0.0
139	Bela	1	6	0.14285714285714285
140	Belaite	0	1	0.0
141	Beliar	0	7	0.0
142	Ben-Ammi	0	1	0.0
143	Ben-Oni	0	1	0.0
144	Bene Jaakan	0	2	0.0
145	Benjamin	2	27	0.06896551724137931
146	Beon	0	1	0.0
147	Beor	5	2	0.7142857142857143
148	Bera	0	1	0.0
149	Bered	0	1	0.0
150	Beriah	0	3	0.0
151	Beriites	0	1	0.0
152	Beth-Haran	0	1	0.0
153	Beth-Jeshimoth	0	1	0.0
154	Beth-Nimrah	0	1	0.0
155	Beth-Peor	0	3	0.0
156	Bethany	1	0	1.0
157	Bethel	9	2	0.8181818181818182
158	Bethlehem	0	3	0.0
159	Bethphage	0	7	0.0
160	Bethsaida	0	8	0.0
161	Bethuel	0	9	0.0
162	Bethzatha	0	11	0.0
163	Bezalel	0	6	0.0
164	Bezer	0	1	0.0
165	Bilhah	0	9	0.0
166	Bilhan	0	1	0.0
167	Birsha	0	1	0.0
168	Bozrah	0	1	0.0
169	Bukki	0	1	0.0
170	Buz	1	0	1.0
171	Caesarea	0	2	0.0
172	Cain	0	14	0.0
173	Cainan	0	3	0.0
174	Calah	0	2	0.0
175	Caleb	0	10	0.0
176	Calneh	0	1	0.0
177	Cana	0	1	0.0
178	Canaan	43	23	0.6515151515151515
179	Canaanite	0	31	0.0
180	Candace	0	4	0.0
181	Caphtor	0	1	0.0
182	Caphtorim	0	2	0.0
183	Carmi	1	2	0.3333333333333333
184	Carmite	0	1	0.0
185	Casluhim	0	1	0.0
186	Chaldea	0	3	0.0
187	Chedorlaomer	0	5	0.0
188	Chemosh	0	1	0.0
189	Cheran	0	1	0.0
190	Chesed	0	1	0.0
191	Chezib	0	1	0.0
192	Chinnereth	0	2	0.0
193	Chislon	0	1	0.0
194	Chuza	0	2	0.0
195	Clement	0	1	0.0
196	Cnidus	0	1	0.0
197	Cozbi	0	2	0.0
198	Cush	0	4	0.0
199	Cushite	0	2	0.0
200	Cyrene	0	3	0.0
201	Dalmatia	0	1	0.0
202	Damascus	0	2	0.0
203	Dan	25	2	0.9259259259259259
204	Dathan	7	0	1.0
205	David	0	1	0.0
206	Dead Sea	0	4	0.0
207	Deborah	0	1	0.0
208	Dedan	0	2	0.0
209	Derbe	0	3	0.0
210	Deuel	0	4	0.0
211	Dibon	4	1	0.8
212	Dibri	0	1	0.0
213	Diklah	0	1	0.0
214	Dinah	0	8	0.0
215	Dinhabah	0	1	0.0
216	Dishan	0	4	0.0
217	Dishon	0	3	0.0
218	Dizahab	0	1	0.0
219	Dodanim	0	1	0.0
220	Dophkah	0	2	0.0
221	Dothan	0	1	0.0
222	Dumah	0	1	0.0
223	Ebal	4	0	1.0
224	Eber	7	1	0.875
225	Eden	1	5	0.16666666666666666
226	Edom	17	6	0.7391304347826086
227	Edomite	0	1	0.0
228	Edrei	0	4	0.0
229	Egyptian	0	18	0.0
230	Ehi	0	1	0.0
231	El Paran	0	1	0.0
232	Elah	0	1	0.0
233	Elam	2	1	0.6666666666666666
234	Elath	1	0	1.0
235	Eldaah	0	1	0.0
236	Eldad	2	0	1.0
237	Elealeh	0	2	0.0
238	Eleazar	30	12	0.7142857142857143
239	Eliab	9	1	0.9
240	Eliakim	0	2	0.0
241	Eliasaph	2	4	0.3333333333333333
242	Elidad	0	1	0.0
243	Eliezer	1	2	0.3333333333333333
244	Elim	0	5	0.0
245	Eliphaz	0	7	0.0
246	Elisha	0	2	0.0
247	Elishah	0	1	0.0
248	Elishama	0	5	0.0
249	Elisheba	0	1	0.0
250	Eliud	0	1	0.0
251	Elizabeth	0	1	0.0
252	Elizaphan	0	2	0.0
253	Elizur	0	5	0.0
254	Elkanah	0	1	0.0
255	Ellasar	0	2	0.0
256	Elmadam	0	1	0.0
257	Elon	2	2	0.5
258	Elonite	0	1	0.0
259	Elzaphan	0	2	0.0
260	Emim	0	3	0.0
261	Emmaus	0	1	0.0
262	En Mishpat	0	1	0.0
263	Enaim	0	2	0.0
264	Enan	3	2	0.6
265	Enoch	3	11	0.21428571428571427
266	Enosh	0	6	0.0
267	Ephah	0	1	0.0
268	Epher	0	1	0.0
269	Ephod	0	1	0.0
270	Ephraim	0	26	0.0
271	Ephrath	0	3	0.0
272	Ephron	0	10	0.0
273	Er	5	0	1.0
274	Eran	0	1	0.0
275	Eranite	0	1	0.0
276	Erech	0	1	0.0
277	Eri	2	0	1.0
278	Erite	0	1	0.0
279	Esau	53	30	0.6385542168674698
280	Eshban	0	1	0.0
281	Eshcol	0	6	0.0
282	Etham	2	2	0.5
283	Euphrates	0	4	0.0
284	Eve	0	2	0.0
285	Evi	0	1	0.0
286	Ezbon	0	1	0.0
287	Ezer	0	3	0.0
288	Ezion-Geber	0	3	0.0
289	Gabriel	0	1	0.0
290	Gad	23	4	0.8518518518518519
291	Gadarene	0	2	0.0
292	Gaddi	0	1	0.0
293	Gaddiel	0	1	0.0
294	Gadite	0	5	0.0
295	Gaham	0	1	0.0
296	Galilean	0	5	0.0
297	Galilee	44	9	0.8301886792452831
298	Gallio	0	8	0.0
299	Gamaliel	5	0	1.0
300	Gatam	0	2	0.0
301	Gaza	1	1	0.5
302	Gehenna	0	3	0.0
303	Gemalli	0	1	0.0
304	Gennesaret	0	4	0.0
305	Gera	1	0	1.0
306	Gerar	8	0	1.0
307	Gerasene	0	1	0.0
308	Gerizim	0	2	0.0
309	Gershom	0	2	0.0
310	Gershon	0	13	0.0
311	Gershonite	0	7	0.0
312	Geshurite	0	1	0.0
313	Gether	1	0	1.0
314	Geuel	0	1	0.0
315	Gihon	0	1	0.0
316	Gilead	0	22	0.0
317	Gileadite	0	1	0.0
318	Gilgal	0	1	0.0
319	Girgashite	0	3	0.0
320	Golan	1	0	1.0
321	Gomer	2	0	1.0
322	Gomorrah	0	14	0.0
323	Goren ha-Atad	0	2	0.0
324	Goshen	0	11	0.0
325	Greece	0	9	0.0
326	Greek woman	0	1	0.0
327	Gudgodah	0	1	0.0
328	Guni	0	2	0.0
329	Gunite	0	1	0.0
330	Hadad	0	3	0.0
331	Hadar	0	1	0.0
332	Hadoram	0	1	0.0
