	en	Found	Not_found	Found_ratio
0	Abaddon	0	5	0.0
1	Abel	0	2	0.0
2	Abijah	2	1	0.6666666666666666
3	Abilene	0	1	0.0
4	Abiud	0	1	0.0
5	Abraham	0	2	0.0
6	Achaicus	0	10	0.0
7	Achim	0	2	0.0
8	Addi	0	9	0.0
9	Adriatic Sea	0	1	0.0
10	Aenon	0	2	0.0
11	Ahaz	0	1	0.0
12	Alexander	5	0	1.0
13	Alexandrian	1	1	0.5
14	Alphaeus	4	0	1.0
15	Amos	0	2	0.0
16	Ananias	9	0	1.0
17	Andronicus	0	13	0.0
18	Anna	4	0	1.0
19	Antioch	15	0	1.0
20	Antipas	0	1	0.0
21	Antipatris	0	4	0.0
22	Apollonia	0	1	0.0
23	Apollos	0	1	0.0
24	Apphia	0	1	0.0
25	Aram	0	2	0.0
26	Archelaus	0	1	0.0
27	Archippus	0	5	0.0
28	Areopagus	0	1	0.0
29	Aristarchus	0	1	0.0
30	Aristobulus	0	4	0.0
31	Armageddon	0	5	0.0
32	Artemas	0	1	0.0
33	Asher	0	2	0.0
34	Asia	1	0	1.0
35	Asian	0	2	0.0
36	Asyncritus	0	2	0.0
37	Athens	0	2	0.0
38	Augustus	0	1	0.0
39	Balaam	0	12	0.0
40	Balak	1	2	0.3333333333333333
41	Bar-Jesus	0	4	0.0
42	Bar-Jona	0	1	0.0
43	Barachiah	0	11	0.0
44	Barak	0	1	0.0
45	Barnabas	0	1	0.0
46	Barsabbas	0	29	0.0
47	Bartholomew	0	1	0.0
48	Bartimaeus	0	1	0.0
49	Beliar	0	7	0.0
50	Beor	0	1	0.0
51	Berean	0	3	0.0
52	Bernice	0	4	0.0
53	Bethany	1	2	0.3333333333333333
54	Bethlehem	0	1	0.0
55	Bethphage	0	7	0.0
56	Bethsaida	0	8	0.0
57	Bethzatha	0	11	0.0
58	Caesar	15	0	1.0
59	Caesarea	2	0	1.0
60	Cainan	1	2	0.3333333333333333
61	Cana	0	1	0.0
62	Canaan	1	0	1.0
63	Candace	0	4	0.0
64	Capernaum	0	1	0.0
65	Cappadocia	0	1	0.0
66	Carpus	0	3	0.0
67	Chuza	0	2	0.0
