	en	Found	Not_found	Found_ratio
0	Aaron	327	24	0.9316239316239316
1	Abagtha	1	0	1.0
2	Abarim	4	1	0.8
3	Abda	2	0	1.0
4	Abdeel	1	0	1.0
5	Abdi	2	1	0.6666666666666666
6	Abdiel	1	0	1.0
7	Abdon	7	2	0.7777777777777778
8	Abednego	0	15	0.0
9	Abel	7	0	1.0
10	Abel-Beth-Maacah	0	3	0.0
11	Abel-Keramim	0	1	0.0
12	Abel-Maim	0	1	0.0
13	Abel-Meholah	0	3	0.0
14	Abel-Mizraim	0	1	0.0
15	Abel-Shittim	0	1	0.0
16	Abi	1	0	1.0
17	Abi-Albon	0	1	0.0
18	Abiasaph	0	1	0.0
19	Abiathar	0	30	0.0
20	Abida	2	0	1.0
21	Abidan	5	0	1.0
22	Abiel	3	0	1.0
23	Abiezer	0	7	0.0
24	Abiezrite	0	3	0.0
25	Abigail	0	19	0.0
26	Abihail	0	6	0.0
27	Abihu	12	0	1.0
28	Abihud	1	0	1.0
29	Abijah	0	25	0.0
30	Abijam	0	5	0.0
31	Abimael	2	0	1.0
32	Abimelech	66	1	0.9850746268656716
33	Abinadab	12	0	1.0
34	Abinoam	0	4	0.0
35	Abiram	11	0	1.0
36	Abishag	5	0	1.0
37	Abishai	19	6	0.76
38	Abishua	4	1	0.8
39	Abishur	2	0	1.0
40	Abital	2	0	1.0
41	Abitub	1	0	1.0
42	Abner	63	0	1.0
43	Abraham	173	2	0.9885714285714285
44	Abram	61	0	1.0
45	Abronah	2	0	1.0
46	Absalom	0	111	0.0
47	Accad	1	0	1.0
48	Acco	0	1	0.0
49	Achan	6	0	1.0
50	Achar	1	0	1.0
51	Achbor	7	0	1.0
52	Achish	19	2	0.9047619047619048
53	Achsah	5	0	1.0
54	Achshaph	3	0	1.0
55	Achzib	4	0	1.0
56	Adadah	0	1	0.0
57	Adah	8	0	1.0
58	Adaiah	0	9	0.0
59	Adalia	0	1	0.0
60	Adam	10	2	0.8333333333333334
61	Adamah	1	0	1.0
62	Adami Nekeb	0	1	0.0
63	Adar	1	1	0.5
64	Adbeel	2	0	1.0
65	Addan	1	0	1.0
66	Addon	1	0	1.0
67	Adiel	3	0	1.0
68	Adin	3	1	0.75
69	Adina	1	0	1.0
70	Adithaim	0	1	0.0
71	Adlai	1	0	1.0
72	Admah	4	1	0.8
73	Admatha	1	0	1.0
74	Adna	2	0	1.0
75	Adnah	1	1	0.5
76	Adoni-Bezek	3	0	1.0
77	Adoni-Zedek	2	0	1.0
78	Adonijah	0	26	0.0
79	Adonikam	2	1	0.6666666666666666
80	Adoniram	2	0	1.0
81	Adoraim	0	1	0.0
82	Adoram	2	0	1.0
83	Adrammelech	3	0	1.0
84	Adriel	2	0	1.0
85	Adullam	8	0	1.0
86	Adullamite	3	0	1.0
87	Adummim	2	0	1.0
88	Agag	8	0	1.0
89	Agagite	5	0	1.0
90	Agee	0	1	0.0
91	Agur	1	0	1.0
92	Ahab	0	93	0.0
93	Aharah	0	1	0.0
94	Aharhel	0	1	0.0
95	Ahasbai	0	1	0.0
96	Ahasuerus	0	32	0.0
97	Ahava	3	0	1.0
98	Ahaz	0	41	0.0
99	Ahaziah	0	37	0.0
100	Ahban	0	1	0.0
101	Ahi	0	2	0.0
102	Ahiam	0	2	0.0
103	Ahian	0	1	0.0
104	Ahiezer	0	6	0.0
105	Ahihud	0	2	0.0
106	Ahijah	0	24	0.0
107	Ahikam	0	20	0.0
108	Ahilud	0	5	0.0
109	Ahimaaz	0	15	0.0
110	Ahiman	0	4	0.0
111	Ahimelech	0	17	0.0
112	Ahimoth	0	1	0.0
113	Ahinadab	0	1	0.0
114	Ahinoam	0	7	0.0
115	Ahio	0	6	0.0
116	Ahira	0	5	0.0
117	Ahiram	0	1	0.0
118	Ahiramite	0	1	0.0
119	Ahisamach	0	3	0.0
120	Ahishahar	0	1	0.0
121	Ahishar	0	1	0.0
122	Ahithophel	0	20	0.0
123	Ahitub	0	15	0.0
124	Ahlab	0	1	0.0
125	Ahlai	0	2	0.0
126	Ahoah	0	1	0.0
127	Ahohite	0	5	0.0
128	Ahumai	0	1	0.0
129	Ahuzzam	0	1	0.0
130	Ahuzzath	0	1	0.0
131	Ahzai	0	1	0.0
132	Ai	32	0	1.0
133	Aiah	0	6	0.0
134	Aiath	0	1	0.0
135	Aijalon	0	10	0.0
136	Ain	0	5	0.0
137	Akan	1	0	1.0
138	Akkub	8	0	1.0
139	Alemeth	3	1	0.75
140	Alian	0	1	0.0
141	Allammelech	1	0	1.0
142	Allon	1	0	1.0
143	Almighty One	0	48	0.0
144	Almodad	2	0	1.0
145	Almon	1	0	1.0
146	Almon-Diblathaim	0	2	0.0
147	Alush	2	0	1.0
148	Alvah	2	0	1.0
149	Alvan	1	0	1.0
150	Amad	0	1	0.0
151	Amal	1	0	1.0
152	Amalek	38	1	0.9743589743589743
153	Amalekite	12	0	1.0
154	Amam	1	0	1.0
155	Amanah	2	0	1.0
156	Amariah	0	14	0.0
157	Amasa	0	12	0.0
158	Amasai	0	5	0.0
159	Amashsai	1	0	1.0
160	Amasiah	0	1	0.0
161	Amaziah	0	44	0.0
162	Ami	1	0	1.0
163	Amittai	0	2	0.0
164	Ammah	1	0	1.0
165	Ammiel	6	0	1.0
166	Ammihud	10	0	1.0
167	Amminadab	11	1	0.9166666666666666
168	Ammishaddai	5	0	1.0
169	Ammizabad	1	0	1.0
170	Ammon	103	3	0.9716981132075472
171	Ammonite	17	5	0.7727272727272727
172	Amnon	22	0	1.0
173	Amok	2	0	1.0
174	Amon	17	1	0.9444444444444444
175	Amorite	0	86	0.0
176	Amos	7	0	1.0
177	Amoz	11	2	0.8461538461538461
178	Amram	12	1	0.9230769230769231
179	Amramite	2	0	1.0
180	Amraphel	2	0	1.0
181	Amzi	1	1	0.5
182	Anab	2	0	1.0
183	Anah	10	0	1.0
184	Anaharath	0	1	0.0
185	Anaiah	0	2	0.0
186	Anak	9	0	1.0
187	Anakim	9	0	1.0
188	Anamim	2	0	1.0
189	Anammelech	1	0	1.0
190	Anan	0	1	0.0
191	Anani	1	0	1.0
192	Ananiah	0	2	0.0
193	Anath	2	0	1.0
194	Anathoth	13	2	0.8666666666666667
195	Anathothite	0	5	0.0
196	Anem	0	1	0.0
197	Aner	2	1	0.6666666666666666
198	Aniam	0	1	0.0
199	Anim	1	0	1.0
200	Anthothijah	0	1	0.0
201	Anub	1	0	1.0
202	Aphek	8	0	1.0
203	Aphekah	1	0	1.0
204	Aphiah	0	1	0.0
205	Aphik	1	0	1.0
206	Appaim	0	2	0.0
207	Ar	6	0	1.0
208	Ara	1	0	1.0
209	Arab	10	1	0.9090909090909091
210	Arabah	2	22	0.08333333333333333
211	Arabia	5	0	1.0
212	Arad	5	0	1.0
213	Arah	0	4	0.0
214	Aram	7	115	0.05737704918032787
215	Aram of Damascus	0	3	0.0
216	Aram-zobah	0	3	0.0
217	Aramaic	0	4	0.0
218	Aramean	0	12	0.0
219	Aran	2	0	1.0
220	Ararat	4	0	1.0
221	Araunah	0	7	0.0
222	Arbathite	2	0	1.0
223	Arbite	1	0	1.0
224	Ard	2	0	1.0
225	Ardite	1	0	1.0
226	Ardon	1	0	1.0
227	Areli	2	0	1.0
228	Arelite	1	0	1.0
229	Argob	5	0	1.0
230	Aridai	1	0	1.0
231	Aridatha	1	0	1.0
232	Arieh	0	1	0.0
