	en	Found	Not_found	Found_ratio
0	Aaron	326	18	0.9476744186046512
1	Abarim	3	2	0.6
2	Abda	1	0	1.0
3	Abdeel	0	1	0.0
4	Abdi	3	0	1.0
5	Abdiel	1	0	1.0
6	Abdon	8	1	0.8888888888888888
7	Abel	7	0	1.0
8	Abel-Beth-Maacah	0	3	0.0
9	Abel-Keramim	1	0	1.0
10	Abel-Maim	1	0	1.0
11	Abel-Meholah	1	2	0.3333333333333333
12	Abel-Mizraim	0	1	0.0
13	Abel-Shittim	0	1	0.0
14	Abi	1	0	1.0
15	Abiasaph	1	0	1.0
16	Abiathar	30	0	1.0
17	Abida	2	0	1.0
18	Abidan	5	0	1.0
19	Abiel	3	0	1.0
20	Abiezer	7	0	1.0
21	Abiezrite	0	3	0.0
22	Abigail	19	0	1.0
23	Abihail	3	1	0.75
24	Abihu	12	0	1.0
25	Abihud	1	0	1.0
26	Abijah	20	1	0.9523809523809523
27	Abijam	5	0	1.0
28	Abimael	1	0	1.0
29	Abimelech	65	2	0.9701492537313433
30	Abinadab	10	1	0.9090909090909091
31	Abinoam	4	0	1.0
32	Abiram	9	2	0.8181818181818182
33	Abishag	5	0	1.0
34	Abishai	24	1	0.96
35	Abishua	5	0	1.0
36	Abishur	2	0	1.0
37	Abital	2	0	1.0
38	Abitub	1	0	1.0
39	Abner	59	0	1.0
40	Abraham	168	5	0.9710982658959537
41	Abram	58	2	0.9666666666666667
42	Abronah	2	0	1.0
43	Absalom	110	1	0.990990990990991
44	Accad	1	0	1.0
45	Acco	1	0	1.0
46	Achan	6	0	1.0
47	Achar	0	1	0.0
48	Achbor	5	2	0.7142857142857143
49	Achish	20	1	0.9523809523809523
50	Achsah	5	0	1.0
51	Achshaph	2	1	0.6666666666666666
52	Achzib	2	2	0.5
53	Adadah	0	1	0.0
54	Adah	8	0	1.0
55	Adaiah	6	1	0.8571428571428571
56	Adam	9	3	0.75
57	Adamah	0	1	0.0
58	Adami Nekeb	0	1	0.0
59	Adar	0	2	0.0
60	Adbeel	0	2	0.0
61	Addan	1	0	1.0
62	Adiel	3	0	1.0
63	Adin	2	0	1.0
64	Adina	1	0	1.0
65	Adithaim	0	1	0.0
66	Adlai	1	0	1.0
67	Admah	5	0	1.0
68	Adna	1	0	1.0
69	Adnah	2	0	1.0
70	Adoni-Bezek	3	0	1.0
71	Adoni-Zedek	2	0	1.0
72	Adonijah	24	1	0.96
73	Adonikam	2	0	1.0
74	Adoniram	2	0	1.0
75	Adoraim	1	0	1.0
76	Adoram	2	0	1.0
77	Adrammelech	3	0	1.0
78	Adriel	1	0	1.0
79	Adullam	7	0	1.0
80	Adullamite	2	1	0.6666666666666666
81	Adummim	1	1	0.5
82	Agag	7	1	0.875
83	Agee	1	0	1.0
84	Ahab	74	16	0.8222222222222222
85	Aharah	1	0	1.0
86	Aharhel	0	1	0.0
87	Ahasbai	1	0	1.0
88	Ahasuerus	1	0	1.0
89	Ahava	3	0	1.0
90	Ahaz	39	2	0.9512195121951219
91	Ahaziah	36	0	1.0
92	Ahban	1	0	1.0
93	Ahi	0	2	0.0
94	Ahiam	2	0	1.0
95	Ahian	1	0	1.0
96	Ahiezer	6	0	1.0
97	Ahihud	2	0	1.0
98	Ahijah	14	3	0.8235294117647058
99	Ahikam	4	14	0.2222222222222222
100	Ahilud	5	0	1.0
101	Ahimaaz	15	0	1.0
102	Ahiman	4	0	1.0
103	Ahimelech	14	3	0.8235294117647058
104	Ahimoth	1	0	1.0
105	Ahinadab	1	0	1.0
106	Ahinoam	7	0	1.0
107	Ahio	0	6	0.0
108	Ahira	5	0	1.0
109	Ahiram	0	1	0.0
110	Ahiramite	0	1	0.0
111	Ahisamach	2	1	0.6666666666666666
112	Ahishahar	1	0	1.0
113	Ahishar	1	0	1.0
114	Ahithophel	20	0	1.0
115	Ahitub	14	0	1.0
116	Ahlab	1	0	1.0
117	Ahlai	1	1	0.5
118	Ahoah	1	0	1.0
119	Ahohite	3	2	0.6
120	Ahumai	1	0	1.0
121	Ahuzzam	0	1	0.0
122	Ahuzzath	1	0	1.0
123	Ai	25	5	0.8333333333333334
124	Aiah	5	1	0.8333333333333334
125	Aiath	1	0	1.0
126	Aijalon	7	3	0.7
127	Ain	2	3	0.4
128	Akan	1	0	1.0
129	Akkub	4	0	1.0
130	Alemeth	4	0	1.0
131	Alian	0	1	0.0
132	Allammelech	1	0	1.0
133	Allon	1	0	1.0
134	Almighty One	1	47	0.020833333333333332
135	Almodad	1	0	1.0
136	Almon	0	1	0.0
137	Almon-Diblathaim	2	0	1.0
138	Alush	2	0	1.0
139	Alvah	2	0	1.0
140	Alvan	1	0	1.0
141	Amad	1	0	1.0
142	Amal	1	0	1.0
143	Amalek	38	1	0.9743589743589743
144	Amalekite	5	7	0.4166666666666667
145	Amam	0	1	0.0
146	Amanah	0	2	0.0
147	Amariah	10	0	1.0
148	Amasa	12	0	1.0
149	Amasai	5	0	1.0
150	Amasiah	1	0	1.0
151	Amaziah	43	1	0.9772727272727273
152	Ami	1	0	1.0
153	Amittai	2	0	1.0
154	Ammah	1	0	1.0
155	Ammiel	6	0	1.0
156	Ammihud	10	0	1.0
157	Amminadab	12	0	1.0
158	Ammishaddai	5	0	1.0
159	Ammizabad	1	0	1.0
160	Ammon	93	10	0.9029126213592233
161	Ammonite	10	5	0.6666666666666666
162	Amnon	21	1	0.9545454545454546
163	Amon	15	1	0.9375
164	Amorite	76	6	0.926829268292683
165	Amos	7	0	1.0
166	Amoz	12	1	0.9230769230769231
167	Amram	13	0	1.0
168	Amramite	0	2	0.0
169	Amraphel	2	0	1.0
170	Amzi	0	1	0.0
171	Anab	2	0	1.0
172	Anah	10	0	1.0
173	Anaharath	0	1	0.0
174	Anak	8	1	0.8888888888888888
175	Anakim	7	2	0.7777777777777778
176	Anamim	1	0	1.0
177	Anammelech	1	0	1.0
178	Anani	1	0	1.0
179	Anath	2	0	1.0
180	Anathoth	9	0	1.0
181	Anathothite	1	3	0.25
182	Anem	1	0	1.0
183	Aner	3	0	1.0
184	Aniam	1	0	1.0
185	Anim	0	1	0.0
186	Anthothijah	1	0	1.0
187	Anub	1	0	1.0
188	Aphek	6	1	0.8571428571428571
189	Aphekah	1	0	1.0
190	Aphiah	1	0	1.0
191	Aphik	0	1	0.0
192	Appaim	2	0	1.0
193	Ar	5	1	0.8333333333333334
194	Ara	1	0	1.0
195	Arab	6	2	0.75
196	Arabah	13	11	0.5416666666666666
197	Arabia	2	2	0.5
198	Arad	5	0	1.0
199	Arah	2	0	1.0
200	Aram	9	113	0.07377049180327869
