	en	Found	Not_found	Found_ratio
0	Aaron	1	0	1.0
1	Abel	3	2	0.6
2	Abida	0	1	0.0
3	Abraham	67	30	0.6907216494845361
4	Abram	45	11	0.8035714285714286
5	Achaicus	0	2	0.0
6	Adam	1	2	0.3333333333333333
7	Admah	1	1	0.5
8	Ai	1	1	0.5
9	Alexander	1	0	1.0
10	Almighty One	0	3	0.0
11	Amalekite	0	1	0.0
12	Ammon	0	1	0.0
13	Amorite	0	4	0.0
14	Amraphel	0	2	0.0
15	Andronicus	0	2	0.0
16	Aner	2	0	1.0
17	Aramean	0	3	0.0
18	Ararat	1	0	1.0
19	Arioch	0	2	0.0
20	Aristobulus	0	1	0.0
21	Asher	1	0	1.0
22	Ashteroth-Karnaim	0	1	0.0
23	Asshurim	0	1	0.0
24	Babel	1	0	1.0
25	Barachiah	0	2	0.0
26	Basemath	0	1	0.0
27	Beer-Lahai-Roi	0	3	0.0
28	Beeri	0	1	0.0
29	Beersheba	4	0	1.0
30	Bela	1	1	0.5
31	Ben-Ammi	1	0	1.0
32	Ben-Oni	0	1	0.0
33	Benjamin	1	0	1.0
34	Bera	0	1	0.0
35	Bered	0	1	0.0
36	Bethel	9	1	0.9
37	Bethlehem	1	0	1.0
38	Bethphage	0	2	0.0
39	Bethsaida	0	5	0.0
40	Bethuel	6	0	1.0
41	Bethzatha	0	4	0.0
42	Bilhah	3	2	0.6
43	Birsha	0	1	0.0
44	Cain	9	3	0.75
45	Canaan	7	6	0.5384615384615384
46	Canaanite	0	5	0.0
47	Chaldea	1	2	0.3333333333333333
48	Chedorlaomer	0	5	0.0
49	Cyrene	1	0	1.0
50	Dalmatia	0	1	0.0
51	Damascus	1	1	0.5
52	Dan	2	0	1.0
53	David	0	2	0.0
54	Dead Sea	0	1	0.0
55	Dedan	0	1	0.0
56	Derbe	0	1	0.0
57	Dinah	1	0	1.0
58	Eden	4	1	0.8
59	Edom	1	1	0.5
60	Egyptian	0	6	0.0
61	El Paran	0	1	0.0
62	Elam	1	1	0.5
63	Eldaah	0	1	0.0
64	Eliezer	1	0	1.0
65	Ellasar	0	2	0.0
66	Elmadam	0	1	0.0
67	Elon	0	1	0.0
68	Emim	0	1	0.0
69	Emmaus	0	1	0.0
70	En Mishpat	0	1	0.0
71	Enoch	2	1	0.6666666666666666
72	Ephah	0	1	0.0
73	Epher	0	1	0.0
74	Ephrath	2	0	1.0
75	Ephron	6	1	0.8571428571428571
76	Esau	30	14	0.6818181818181818
77	Eshcol	0	2	0.0
78	Euphrates	1	0	1.0
79	Eve	2	0	1.0
80	Gad	2	0	1.0
81	Galilean	0	2	0.0
82	Galilee	9	1	0.9
83	Gallio	0	1	0.0
84	Gennesaret	1	1	0.5
85	Gilead	2	1	0.6666666666666666
86	Girgashite	0	1	0.0
87	Gomorrah	7	2	0.7777777777777778
88	Hagar	9	0	1.0
89	Ham	2	2	0.5
90	Hamor	1	0	1.0
91	Haran	9	2	0.8181818181818182
92	Hazazon Tamar	0	1	0.0
93	Hebrew	0	1	0.0
94	Hebron	2	2	0.5
95	Heli	0	4	0.0
96	Herod	9	0	1.0
97	Herodias	0	1	0.0
98	Heth	0	11	0.0
99	Hittite	0	5	0.0
100	Hobah	0	1	0.0
101	Horite	0	1	0.0
102	Isaac	37	18	0.6727272727272727
103	Iscah	0	1	0.0
104	Ishbak	0	1	0.0
105	Ishmael	6	3	0.6666666666666666
106	Israel	7	4	0.6363636363636364
107	Issachar	1	0	1.0
108	Jabbok	0	1	0.0
109	Jacob	88	35	0.7154471544715447
110	James	9	1	0.9
111	Japheth	1	1	0.5
112	Jason	0	1	0.0
113	Jebusite	0	1	0.0
114	Jerusalem	8	5	0.6153846153846154
115	Jether	0	1	0.0
116	Jethro	1	0	1.0
117	Jew	0	1	0.0
118	Jewish	0	7	0.0
119	Jezebel	0	1	0.0
120	John	14	1	0.9333333333333333
121	Jokshan	0	2	0.0
122	Jordan	1	2	0.3333333333333333
123	Joseph	11	1	0.9166666666666666
124	Joshua	0	95	0.0
125	Josiah	0	2	0.0
126	Judah	1	2	0.3333333333333333
127	Judas	0	2	0.0
128	Judea	0	3	0.0
129	Judean	0	5	0.0
130	Judith	0	1	0.0
131	Kadesh	0	2	0.0
132	Kadmonite	0	1	0.0
133	Kenite	0	1	0.0
134	Kenizzite	0	1	0.0
135	Keturah	1	1	0.5
136	Kiriath-Arba	0	2	0.0
137	Kiriathaim	0	1	0.0
138	Laban	30	13	0.6976744186046512
139	Leah	21	6	0.7777777777777778
140	Letushim	0	1	0.0
141	Leummim	0	1	0.0
142	Levi	1	0	1.0
143	Levite	0	1	0.0
144	Lot	23	4	0.8518518518518519
145	Luz	1	1	0.5
146	Macedonian	0	3	0.0
147	Machpelah	4	0	1.0
148	Magog	0	4	0.0
149	Mahanaim	0	1	0.0
150	Mamre	6	2	0.75
151	Mary	10	0	1.0
152	Medan	0	1	0.0
153	Melchizedek	1	0	1.0
154	Mesopotamia	1	0	1.0
155	Midian	1	2	0.3333333333333333
156	Migdal Eder	0	1	0.0
157	Milcah	4	0	1.0
158	Mizpa	1	0	1.0
159	Mizraim	0	11	0.0
160	Moab	2	0	1.0
161	Moreh	1	0	1.0
162	Moriah	1	0	1.0
163	Moses	7	1	0.875
164	Most High	0	4	0.0
165	Nahor	8	0	1.0
166	Nahshon	0	3	0.0
167	Naphtali	1	0	1.0
168	Nathanael	0	1	0.0
169	Nazarene	0	6	0.0
170	Negeb	0	6	0.0
