	en	Found	Not_found	Found_ratio
0	Aaron	10	0	1.0
1	Abaddon	0	5	0.0
2	Abarim	1	0	1.0
3	Abdeel	1	0	1.0
4	Abednego	15	0	1.0
5	Abel	0	2	0.0
6	Abijah	2	1	0.6666666666666666
7	Abilene	0	1	0.0
8	Abimelech	1	0	1.0
9	Abiram	1	0	1.0
10	Abiud	0	1	0.0
11	Abraham	11	2	0.8461538461538461
12	Absalom	1	0	1.0
13	Achaicus	0	10	0.0
14	Achbor	2	0	1.0
15	Achim	0	2	0.0
16	Achzib	1	0	1.0
17	Adam	0	2	0.0
18	Addi	0	9	0.0
19	Admah	1	0	1.0
20	Adrammelech	1	0	1.0
21	Adriatic Sea	0	1	0.0
22	Adullam	1	0	1.0
23	Aenon	0	2	0.0
24	Agur	1	0	1.0
25	Ahab	3	0	1.0
26	Ahasuerus	1	0	1.0
27	Ahaz	9	1	0.9
28	Ahikam	16	0	1.0
29	Ahimelech	0	1	0.0
30	Ai	1	0	1.0
31	Aiath	1	0	1.0
32	Alexander	5	0	1.0
33	Alexandrian	1	1	0.5
34	Almighty One	0	37	0.0
35	Alphaeus	4	0	1.0
36	Amalek	0	1	0.0
37	Amanah	0	1	0.0
38	Amariah	1	0	1.0
39	Amaziah	3	0	1.0
40	Amittai	1	0	1.0
41	Ammon	20	3	0.8695652173913043
42	Amon	3	1	0.75
43	Amorite	6	0	1.0
44	Amos	7	2	0.7777777777777778
45	Amoz	7	0	1.0
46	Ananias	9	0	1.0
47	Anathoth	7	0	1.0
48	Anathothite	0	1	0.0
49	Andronicus	0	13	0.0
50	Anna	4	0	1.0
51	Antioch	15	0	1.0
52	Antipas	0	1	0.0
53	Antipatris	0	4	0.0
54	Apollonia	0	1	0.0
55	Apollos	0	1	0.0
56	Apphia	0	1	0.0
57	Ar	1	0	1.0
58	Arab	2	0	1.0
59	Arabah	0	3	0.0
60	Arabia	4	0	1.0
61	Aram	0	15	0.0
62	Aram-zobah	0	1	0.0
63	Aramaic	1	0	1.0
64	Ararat	2	0	1.0
65	Archelaus	0	1	0.0
66	Archippus	0	5	0.0
67	Areopagus	0	1	0.0
68	Ariel	3	0	1.0
69	Arioch	4	0	1.0
70	Aristarchus	0	1	0.0
71	Aristobulus	0	4	0.0
72	Armageddon	0	5	0.0
73	Arnon	2	0	1.0
74	Aroer	1	0	1.0
75	Arpad	2	2	0.5
76	Artemas	0	1	0.0
77	Arvad	2	0	1.0
78	Asa	1	0	1.0
79	Asaph	14	0	1.0
80	Ashdod	6	0	1.0
81	Asher	3	2	0.6
82	Ashkelon	1	6	0.14285714285714285
83	Ashkenaz	0	1	0.0
84	Ashpenaz	1	0	1.0
85	Asia	1	0	1.0
86	Asian	0	2	0.0
87	Assyria	67	4	0.9436619718309859
88	Asyncritus	0	2	0.0
89	Athens	1	1	0.5
90	Augustus	0	1	0.0
91	Azariah	6	1	0.8571428571428571
92	Azekah	1	0	1.0
93	Azel	0	1	0.0
94	Azriel	0	1	0.0
95	Azzur	0	2	0.0
96	Baal	15	5	0.75
97	Baal-Hamon	1	0	1.0
98	Baal-Meon	1	0	1.0
99	Baal-Peor	1	1	0.5
100	Baalis	1	0	1.0
101	Baasha	1	0	1.0
102	Babel	0	203	0.0
103	Balaam	1	12	0.07692307692307693
104	Baladan	1	0	1.0
105	Balak	2	2	0.5
106	Bar-Jesus	0	4	0.0
107	Bar-Jona	0	1	0.0
108	Barachel	2	0	1.0
109	Barachiah	0	11	0.0
110	Barak	0	1	0.0
111	Barnabas	0	1	0.0
112	Barsabbas	2	27	0.06896551724137931
113	Bartholomew	0	1	0.0
114	Bartimaeus	0	1	0.0
115	Baruch	21	0	1.0
116	Bashan	12	4	0.75
117	Bathsheba	0	1	0.0
118	Beer-Elim	1	0	1.0
119	Beeri	1	0	1.0
120	Beersheba	2	0	1.0
121	Bel	3	0	1.0
122	Beliar	0	7	0.0
123	Belshazzar	8	0	1.0
124	Belteshazzar	4	6	0.4
125	Ben-Hadad	0	2	0.0
126	Benaiah	2	0	1.0
127	Benjamin	16	3	0.8421052631578947
128	Benjaminite	0	1	0.0
129	Beor	1	1	0.5
130	Berean	0	3	0.0
131	Berechiah	0	1	0.0
132	Berekiah	0	1	0.0
133	Bernice	0	4	0.0
134	Berothah	1	0	1.0
135	Beth-Arbel	0	1	0.0
136	Beth-Aven	0	3	0.0
137	Beth-Diblataim	0	1	0.0
138	Beth-Eden	1	0	1.0
139	Beth-Ezel	0	1	0.0
140	Beth-Gamul	1	0	1.0
141	Beth-Haccherem	0	1	0.0
142	Beth-Jeshimoth	1	0	1.0
143	Beth-Leaphrah	0	1	0.0
144	Beth-Meon	1	0	1.0
145	Beth-Shemesh	0	1	0.0
146	Bethany	1	2	0.3333333333333333
147	Bethel	7	3	0.7
148	Bethlehem	1	2	0.3333333333333333
149	Bethphage	0	7	0.0
150	Bethsaida	0	8	0.0
151	Bethzatha	0	11	0.0
152	Bildad	5	0	1.0
153	Bozrah	6	0	1.0
154	Buz	1	0	1.0
155	Buzi	1	0	1.0
156	Buzite	2	0	1.0
157	Caesar	15	0	1.0
158	Caesarea	2	0	1.0
159	Cainan	1	2	0.3333333333333333
160	Calneh	1	0	1.0
161	Calno	1	0	1.0
162	Cana	0	1	0.0
163	Canaan	7	0	1.0
164	Canaanite	1	2	0.3333333333333333
165	Candace	0	4	0.0
166	Canneh	1	0	1.0
167	Capernaum	0	1	0.0
168	Caphtor	2	0	1.0
169	Cappadocia	0	1	0.0
170	Carchemish	2	0	1.0
171	Carmel	7	1	0.875
172	Carpus	0	3	0.0
173	Chaldea	4	62	0.06060606060606061
174	Chaldean	1	12	0.07692307692307693
175	Chebar	8	0	1.0
176	Chemosh	3	0	1.0
177	Cherethites	2	0	1.0
178	Chilmad	1	0	1.0
179	Chimham	1	0	1.0
180	Chuza	0	2	0.0
181	Claudia	0	1	0.0
182	Claudius	2	1	0.6666666666666666
183	Clement	0	1	0.0
184	Cnidus	0	1	0.0
