	en	Found	Not_found	Found_ratio
0	Aaron	9	1	0.9
1	Abaddon	0	5	0.0
2	Abagtha	1	0	1.0
3	Abel	0	2	0.0
4	Abihail	2	0	1.0
5	Abijah	2	1	0.6666666666666666
6	Abilene	0	1	0.0
7	Abimelech	0	1	0.0
8	Abiram	1	0	1.0
9	Abiud	0	1	0.0
10	Abraham	5	2	0.7142857142857143
11	Absalom	0	1	0.0
12	Achaicus	0	10	0.0
13	Achim	0	2	0.0
14	Achzib	1	0	1.0
15	Adalia	1	0	1.0
16	Addi	0	9	0.0
17	Admatha	1	0	1.0
18	Adriatic Sea	0	1	0.0
19	Adullam	1	0	1.0
20	Aenon	0	2	0.0
21	Agagite	5	0	1.0
22	Ahab	1	0	1.0
23	Ahasuerus	27	3	0.9
24	Ahaz	1	1	0.5
25	Ahimelech	0	1	0.0
26	Alexander	5	0	1.0
27	Alexandrian	2	0	1.0
28	Almighty One	0	5	0.0
29	Alphaeus	4	0	1.0
30	Amalek	0	1	0.0
31	Amariah	1	0	1.0
32	Amittai	1	0	1.0
33	Amminadab	1	1	0.5
34	Ammon	2	1	0.6666666666666666
35	Amon	1	0	1.0
36	Amorite	2	0	1.0
37	Amos	0	2	0.0
38	Ananias	9	0	1.0
39	Andronicus	0	13	0.0
40	Anna	4	0	1.0
41	Antioch	15	0	1.0
42	Antipas	0	1	0.0
43	Antipatris	0	4	0.0
44	Apollonia	0	1	0.0
45	Apollos	0	1	0.0
46	Apphia	0	1	0.0
47	Aram	0	2	0.0
48	Aram-zobah	0	1	0.0
49	Archelaus	0	1	0.0
50	Archippus	0	5	0.0
51	Areopagus	0	1	0.0
52	Aridai	1	0	1.0
53	Aridatha	1	0	1.0
54	Arisai	0	1	0.0
55	Aristarchus	0	1	0.0
56	Aristobulus	0	4	0.0
57	Armageddon	0	5	0.0
58	Artemas	0	1	0.0
59	Asaph	0	12	0.0
60	Ashdod	2	0	1.0
61	Asher	0	2	0.0
62	Ashkelon	3	0	1.0
63	Asia	1	0	1.0
64	Asian	0	2	0.0
65	Aspatha	1	0	1.0
66	Assyria	7	2	0.7777777777777778
67	Asyncritus	0	2	0.0
68	Athens	1	1	0.5
69	Augustus	0	1	0.0
70	Azel	1	0	1.0
71	Baal	1	0	1.0
72	Baal-Peor	0	1	0.0
73	Babel	0	7	0.0
74	Balaam	1	12	0.07692307692307693
75	Balak	2	2	0.5
76	Bar-Jesus	0	4	0.0
77	Bar-Jona	0	1	0.0
78	Barachiah	0	11	0.0
79	Barak	0	1	0.0
80	Barnabas	0	1	0.0
81	Barsabbas	0	29	0.0
82	Bartholomew	0	1	0.0
