	en	Found	Not_found	Found_ratio
0	Aaron	0	301	0.0
1	Abarim	0	4	0.0
2	Abel	5	0	1.0
3	Abel-Mizraim	0	1	0.0
4	Abel-Shittim	0	1	0.0
5	Abiasaph	1	0	1.0
6	Abida	1	0	1.0
7	Abidan	5	0	1.0
8	Abihail	0	1	0.0
9	Abihu	9	0	1.0
10	Abimael	0	1	0.0
11	Abimelech	0	24	0.0
12	Abiram	9	0	1.0
13	Abraham	149	2	0.9867549668874173
14	Abram	59	0	1.0
15	Abronah	0	2	0.0
16	Accad	0	1	0.0
17	Achbor	0	2	0.0
18	Adah	0	8	0.0
19	Adam	7	1	0.875
20	Adbeel	1	0	1.0
21	Admah	4	0	1.0
22	Adullamite	0	3	0.0
23	Agag	1	0	1.0
24	Ahiezer	0	5	0.0
25	Ahihud	1	0	1.0
26	Ahiman	0	1	0.0
27	Ahira	0	5	0.0
28	Ahiram	1	0	1.0
29	Ahiramite	0	1	0.0
30	Ahisamach	0	3	0.0
31	Ahuzzath	0	1	0.0
32	Ai	2	0	1.0
33	Aiah	0	1	0.0
34	Ain	1	0	1.0
35	Akan	1	0	1.0
36	Almighty One	0	9	0.0
37	Almodad	1	0	1.0
38	Almon-Diblathaim	0	2	0.0
39	Alush	2	0	1.0
40	Alvah	1	0	1.0
41	Alvan	1	0	1.0
42	Amalek	6	8	0.42857142857142855
43	Amalekite	0	4	0.0
44	Ammiel	1	0	1.0
45	Ammihud	5	2	0.7142857142857143
46	Amminadab	0	6	0.0
47	Ammishaddai	0	5	0.0
48	Ammon	8	0	1.0
49	Ammonite	2	0	1.0
50	Amorite	5	34	0.1282051282051282
51	Amram	6	0	1.0
52	Amramite	0	1	0.0
53	Amraphel	2	0	1.0
54	Anah	0	7	0.0
55	Anak	1	3	0.25
56	Anakim	0	5	0.0
57	Anamim	0	1	0.0
58	Aner	1	1	0.5
59	Ar	4	1	0.8
60	Arabah	0	8	0.0
61	Arad	2	0	1.0
62	Aram	4	0	1.0
63	Aramean	0	6	0.0
64	Aran	1	0	1.0
65	Ararat	0	1	0.0
66	Ard	0	2	0.0
67	Ardite	0	1	0.0
68	Areli	2	0	1.0
69	Arelite	0	1	0.0
70	Argob	0	3	0.0
71	Arioch	0	2	0.0
72	Arkite	0	1	0.0
73	Arnon	12	0	1.0
74	Arod	1	0	1.0
75	Arodi	1	0	1.0
76	Arodite	0	1	0.0
77	Aroer	4	0	1.0
78	Arpachshad	0	6	0.0
79	Arvadite	0	1	0.0
80	Ascent of Akrabbim	0	1	0.0
81	Asenath	3	0	1.0
82	Ashbel	1	1	0.5
83	Ashbelite	0	1	0.0
84	Asher	20	0	1.0
85	Ashkenaz	1	0	1.0
86	Ashtaroth	1	0	1.0
87	Ashteroth-Karnaim	0	1	0.0
88	Asriel	1	0	1.0
89	Asrielite	0	1	0.0
90	Asshur	1	0	1.0
91	Asshurim	0	1	0.0
92	Assir	0	1	0.0
93	Assyria	0	5	0.0
94	Ataroth	1	1	0.5
95	Atharim	0	1	0.0
96	Atroth-Shophan	0	1	0.0
97	Avith	1	0	1.0
98	Avvim	0	1	0.0
99	Azmon	0	2	0.0
100	Azzan	0	1	0.0
101	Baal-Hanan	0	2	0.0
102	Baal-Meon	0	1	0.0
103	Baal-Peor	0	4	0.0
104	Baal-Zephon	1	2	0.3333333333333333
105	Babel	0	2	0.0
106	Balaam	0	51	0.0
107	Balak	37	0	1.0
108	Bamoth	0	2	0.0
109	Bamoth Baal	0	1	0.0
110	Basemath	6	0	1.0
111	Bashan	0	19	0.0
112	Becher	0	2	0.0
113	Becherite	0	1	0.0
114	Bedad	1	0	1.0
115	Beer	0	1	0.0
116	Beer-Lahai-Roi	0	3	0.0
117	Beeri	1	0	1.0
118	Beeroth Benejaakan	0	1	0.0
119	Beersheba	0	11	0.0
120	Bela	7	0	1.0
121	Belaite	0	1	0.0
122	Ben-Ammi	0	1	0.0
123	Ben-Oni	0	1	0.0
124	Bene Jaakan	0	2	0.0
125	Benjamin	21	8	0.7241379310344828
126	Beon	1	0	1.0
127	Beor	6	0	1.0
128	Bera	1	0	1.0
129	Bered	0	1	0.0
130	Beriah	3	0	1.0
131	Beriites	0	1	0.0
132	Beth-Haran	1	0	1.0
133	Beth-Jeshimoth	0	1	0.0
134	Beth-Nimrah	0	1	0.0
135	Beth-Peor	0	3	0.0
136	Bethel	10	1	0.9090909090909091
137	Bethlehem	1	1	0.5
138	Bethuel	9	0	1.0
139	Bezalel	6	0	1.0
140	Bezer	1	0	1.0
141	Bilhah	8	1	0.8888888888888888
142	Bilhan	0	1	0.0
143	Birsha	1	0	1.0
144	Bozrah	0	1	0.0
145	Bukki	0	1	0.0
146	Buz	0	1	0.0
147	Cain	0	14	0.0
148	Calah	0	2	0.0
149	Caleb	0	10	0.0
150	Calneh	0	1	0.0
151	Canaan	0	65	0.0
152	Canaanite	0	31	0.0
153	Caphtor	0	1	0.0
154	Caphtorim	0	2	0.0
155	Carmi	0	3	0.0
156	Carmite	0	1	0.0
157	Casluhim	0	1	0.0
158	Chaldea	0	3	0.0
159	Chedorlaomer	0	5	0.0
160	Chemosh	0	1	0.0
161	Cheran	0	1	0.0
162	Chesed	0	1	0.0
163	Chezib	0	1	0.0
164	Chinnereth	0	2	0.0
165	Chislon	0	1	0.0
166	Cozbi	0	2	0.0
167	Cush	0	4	0.0
168	Cushite	0	2	0.0
169	Damascus	0	2	0.0
170	Dan	27	0	1.0
171	Dathan	7	0	1.0
172	Dead Sea	0	4	0.0
173	Deborah	1	0	1.0
174	Dedan	2	0	1.0
175	Deuel	0	4	0.0
176	Dibon	4	1	0.8
177	Dibri	0	1	0.0
178	Diklah	0	1	0.0
179	Dinah	8	0	1.0
180	Dinhabah	0	1	0.0
181	Dishan	4	0	1.0
182	Dishon	3	0	1.0
183	Dizahab	0	1	0.0
184	Dodanim	1	0	1.0
185	Dophkah	0	2	0.0
186	Dothan	1	0	1.0
187	Dumah	0	1	0.0
188	Ebal	4	0	1.0
189	Eber	7	1	0.875
190	Eden	5	1	0.8333333333333334
191	Edom	23	0	1.0
192	Edomite	1	0	1.0
193	Edrei	1	3	0.25
194	Egyptian	0	18	0.0
195	Ehi	0	1	0.0
196	El Paran	0	1	0.0
197	Elah	1	0	1.0
198	Elam	2	1	0.6666666666666666
199	Elath	1	0	1.0
200	Eldaah	1	0	1.0
201	Eldad	2	0	1.0
202	Elealeh	0	2	0.0
203	Eleazar	0	42	0.0
204	Eliab	10	0	1.0
205	Eliasaph	0	6	0.0
206	Elidad	1	0	1.0
207	Eliezer	1	1	0.5
208	Elim	6	0	1.0
209	Eliphaz	7	0	1.0
210	Elishah	1	0	1.0
211	Elishama	5	0	1.0
212	Elisheba	1	0	1.0
213	Elizaphan	2	0	1.0
214	Elizur	5	0	1.0
215	Elkanah	1	0	1.0
216	Ellasar	0	2	0.0
217	Elon	4	0	1.0
218	Elonite	0	1	0.0
219	Elzaphan	2	0	1.0
220	Emim	0	3	0.0
221	En Mishpat	0	1	0.0
222	Enaim	0	2	0.0
223	Enan	5	0	1.0
224	Enoch	0	13	0.0
225	Enosh	6	0	1.0
226	Ephah	0	1	0.0
227	Epher	1	0	1.0
228	Ephod	1	0	1.0
229	Ephraim	26	0	1.0
230	Ephrath	3	0	1.0
231	Ephron	10	0	1.0
232	Er	5	0	1.0
