	en	Found	Not_found	Found_ratio
0	Aaron	296	14	0.9548387096774194
1	Abaddon	0	1	0.0
2	Abarim	4	0	1.0
3	Abel	5	2	0.7142857142857143
4	Abel-Mizraim	0	1	0.0
5	Abel-Shittim	0	1	0.0
6	Abiasaph	1	0	1.0
7	Abida	1	0	1.0
8	Abidan	5	0	1.0
9	Abihail	1	0	1.0
10	Abihu	9	0	1.0
11	Abijah	2	1	0.6666666666666666
12	Abilene	0	1	0.0
13	Abimael	1	0	1.0
14	Abimelech	24	1	0.96
15	Abiram	10	0	1.0
16	Abiud	0	1	0.0
17	Abraham	157	4	0.9751552795031055
18	Abram	0	59	0.0
19	Abronah	2	0	1.0
20	Absalom	0	1	0.0
21	Accad	1	0	1.0
22	Achbor	2	0	1.0
23	Achim	0	2	0.0
24	Adah	8	0	1.0
25	Adam	8	0	1.0
26	Adbeel	1	0	1.0
27	Addi	0	1	0.0
28	Admah	3	1	0.75
29	Adrammelech	1	0	1.0
30	Adullamite	3	0	1.0
31	Agag	1	0	1.0
32	Agur	1	0	1.0
33	Ahaz	7	0	1.0
34	Ahiezer	5	0	1.0
35	Ahihud	1	0	1.0
36	Ahiman	1	0	1.0
37	Ahimelech	0	1	0.0
38	Ahira	5	0	1.0
39	Ahiram	1	0	1.0
40	Ahiramite	1	0	1.0
41	Ahisamach	3	0	1.0
42	Ahuzzath	1	0	1.0
43	Ai	2	0	1.0
44	Aiah	1	0	1.0
45	Aiath	1	0	1.0
46	Ain	1	0	1.0
47	Akan	1	0	1.0
48	Alexander	1	0	1.0
49	Almighty One	0	12	0.0
50	Almodad	1	0	1.0
51	Almon-Diblathaim	0	2	0.0
52	Alphaeus	3	0	1.0
53	Alush	2	0	1.0
54	Alvah	1	0	1.0
55	Alvan	1	0	1.0
56	Amalek	14	1	0.9333333333333333
57	Amalekite	4	0	1.0
58	Ammiel	1	0	1.0
59	Ammihud	7	0	1.0
60	Amminadab	6	0	1.0
61	Ammishaddai	5	0	1.0
62	Ammon	9	1	0.9
63	Ammonite	1	1	0.5
64	Amorite	41	0	1.0
65	Amos	0	2	0.0
66	Amoz	7	0	1.0
67	Amram	6	0	1.0
68	Amramite	1	0	1.0
69	Amraphel	2	0	1.0
70	Anah	7	0	1.0
71	Anak	4	0	1.0
72	Anakim	5	0	1.0
73	Anamim	1	0	1.0
74	Anathoth	1	0	1.0
75	Andronicus	0	12	0.0
76	Aner	2	0	1.0
77	Anna	3	0	1.0
78	Ar	6	0	1.0
79	Arab	1	0	1.0
80	Arabah	8	0	1.0
81	Arabia	2	0	1.0
82	Arad	2	0	1.0
83	Aram	4	7	0.36363636363636365
84	Aram-zobah	0	1	0.0
85	Aramaic	1	0	1.0
86	Aramean	0	6	0.0
87	Aran	1	0	1.0
88	Ararat	2	0	1.0
89	Archelaus	0	1	0.0
90	Ard	2	0	1.0
91	Ardite	1	0	1.0
92	Areli	2	0	1.0
93	Arelite	1	0	1.0
94	Argob	3	0	1.0
95	Ariel	3	0	1.0
96	Arioch	2	0	1.0
97	Aristobulus	0	4	0.0
98	Arkite	1	0	1.0
99	Arnon	13	0	1.0
100	Arod	1	0	1.0
101	Arodi	1	0	1.0
102	Arodite	1	0	1.0
103	Aroer	4	0	1.0
104	Arpachshad	6	0	1.0
105	Arpad	3	0	1.0
106	Artemas	0	1	0.0
107	Arvadite	1	0	1.0
108	Asaph	2	12	0.14285714285714285
109	Ascent of Akrabbim	1	0	1.0
110	Asenath	3	0	1.0
111	Ashbel	2	0	1.0
112	Ashbelite	1	0	1.0
113	Ashdod	1	0	1.0
114	Asher	20	2	0.9090909090909091
115	Ashkenaz	1	0	1.0
116	Ashtaroth	1	0	1.0
117	Ashteroth-Karnaim	0	1	0.0
118	Asian	0	1	0.0
119	Asriel	1	0	1.0
120	Asrielite	1	0	1.0
121	Asshur	1	0	1.0
122	Asshurim	1	0	1.0
123	Assir	1	0	1.0
124	Assyria	44	3	0.9361702127659575
125	Ataroth	2	0	1.0
126	Atharim	1	0	1.0
127	Atroth-Shophan	0	1	0.0
128	Avith	1	0	1.0
129	Avvim	1	0	1.0
130	Azmon	2	0	1.0
131	Azzan	1	0	1.0
132	Baal-Hanan	0	2	0.0
133	Baal-Meon	0	1	0.0
134	Baal-Peor	0	5	0.0
135	Baal-Zephon	0	3	0.0
136	Babel	2	16	0.1111111111111111
137	Balaam	50	5	0.9090909090909091
138	Baladan	1	0	1.0
139	Balak	37	0	1.0
140	Bamoth	2	0	1.0
141	Bamoth Baal	0	1	0.0
142	Bar-Jesus	0	3	0.0
143	Barachiah	0	11	0.0
144	Barak	0	1	0.0
145	Barnabas	0	1	0.0
146	Basemath	6	0	1.0
147	Bashan	22	5	0.8148148148148148
148	Bathsheba	0	1	0.0
149	Becher	2	0	1.0
150	Becherite	1	0	1.0
151	Bedad	1	0	1.0
152	Beer	1	0	1.0
153	Beer-Elim	0	1	0.0
154	Beer-Lahai-Roi	0	3	0.0
155	Beeri	1	0	1.0
156	Beeroth Benejaakan	0	1	0.0
157	Beersheba	0	11	0.0
158	Bel	1	0	1.0
159	Bela	7	0	1.0
160	Belaite	1	0	1.0
161	Beliar	0	7	0.0
162	Ben-Ammi	0	1	0.0
163	Ben-Oni	0	1	0.0
164	Bene Jaakan	2	0	1.0
165	Benjamin	29	2	0.9354838709677419
166	Benjaminite	0	1	0.0
167	Beon	1	0	1.0
168	Beor	5	2	0.7142857142857143
169	Bera	1	0	1.0
170	Bered	1	0	1.0
171	Beriah	3	0	1.0
