	fr	Found	Not_found	Found_ratio
0	Aaron	327	27	0.923728813559322
1	Abana	1	0	1.0
2	Abataza	0	1	0.0
3	Abdias	0	2	0.0
4	Abed-Négo	0	3	0.0
5	Abel	0	20	0.0
6	Abel-Misraïm	0	1	0.0
7	Abiatar	0	32	0.0
8	Abimélek	0	67	0.0
9	Abioud	0	2	0.0
10	Abiram	10	0	1.0
11	Abiya	0	16	0.0
12	Abiyam	0	5	0.0
13	Abraham	171	15	0.9193548387096774
14	Abram	61	0	1.0
15	Absalom	103	8	0.9279279279279279
16	Acacias	0	8	0.0
17	Achaz	0	2	0.0
18	Achaïcus	0	2	0.0
19	Ada	0	35	0.0
20	Adalya	0	1	0.0
21	Adam	1	1	0.5
22	Adama	1	0	1.0
23	Adami-Nèqev	0	1	0.0
24	Adaya	0	11	0.0
25	Adayahou	0	1	0.0
26	Adbéel	1	1	0.5
27	Addar	2	0	1.0
28	Addân	0	1	0.0
29	Addôn	0	1	0.0
30	Adina	0	4	0.0
31	Aditaïm	0	2	0.0
32	Adiël	0	12	0.0
33	Adma	4	1	0.8
34	Admata	0	1	0.0
35	Adna	0	4	0.0
36	Adnah	0	1	0.0
37	Adoni-Bèzeq	0	3	0.0
38	Adoni-Sédeq	0	2	0.0
39	Adonias	0	24	0.0
40	Adoniqam	0	3	0.0
41	Adoniram	2	0	1.0
42	Adoniya	0	1	0.0
43	Adoniyahou	0	1	0.0
44	Adoram	3	0	1.0
45	Adoraïm	1	0	1.0
46	Adoullam	0	1	0.0
47	Adoummim	0	2	0.0
48	Adrammélek	0	3	0.0
49	Adriël	0	1	0.0
50	Adéada	0	1	0.0
51	Adîn	0	2	0.0
52	Afeq	0	8	0.0
53	Afiah	0	1	0.0
54	Afiq	0	1	0.0
55	Aféqa	0	1	0.0
56	Agag	8	0	1.0
57	Agaguite	0	5	0.0
58	Agar	0	1	0.0
59	Agour	0	1	0.0
60	Agué	1	0	1.0
61	Aharhel	0	1	0.0
62	Ahasbaï	0	1	0.0
63	Ahashtarites	0	1	0.0
64	Ahawa	0	3	0.0
65	Ahaz	0	3	0.0
66	Ahbân	0	1	0.0
67	Ahi	0	2	0.0
68	Ahia	0	1	0.0
69	Ahiam	0	2	0.0
70	Ahihoud	0	2	0.0
71	Ahiloud	0	5	0.0
72	Ahimaaç	0	15	0.0
73	Ahimoth	0	1	0.0
74	Ahimân	0	4	0.0
75	Ahimélek	0	17	0.0
76	Ahinadav	0	1	0.0
77	Ahinoam	0	7	0.0
78	Ahiqam	0	20	0.0
79	Ahira	5	0	1.0
80	Ahiram	0	1	0.0
81	Ahiramites	0	1	0.0
82	Ahisamak	0	3	0.0
83	Ahishahar	0	1	0.0
84	Ahishar	0	1	0.0
85	Ahitofel	0	20	0.0
86	Ahitouv	0	15	0.0
87	Ahiyya	0	23	0.0
88	Ahiézer	5	1	0.8333333333333334
89	Ahlav	0	1	0.0
90	Ahlaï	0	2	0.0
91	Ahoah	0	1	0.0
92	Ahohite	0	5	0.0
93	Ahoumaï	0	1	0.0
94	Ahouzzam	0	1	0.0
95	Ahouzzath	0	1	0.0
96	Ahra	0	1	0.0
97	Ahyo	0	6	0.0
98	Ahyân	0	1	0.0
99	Ahzaï	0	1	0.0
100	Akar	0	1	0.0
101	Akbor	0	1	0.0
102	Akhab	0	93	0.0
103	Akhaz	0	38	0.0
104	Akhazias	0	37	0.0
105	Akhim	0	1	0.0
106	Akish	19	2	0.9047619047619048
107	Akkad	0	1	0.0
108	Akko	0	1	0.0
109	Aksa	0	1	0.0
110	Akshaf	0	3	0.0
111	Akziv	0	4	0.0
112	Akân	0	1	0.0
113	Alammélek	0	1	0.0
114	Alexandre	0	3	0.0
115	Alexandrie	0	9	0.0
116	Allôn	0	1	0.0
117	Almodad	2	0	1.0
118	Aloush	0	2	0.0
119	Alphée	0	1	0.0
120	Alwân	0	2	0.0
121	Alyân	0	2	0.0
122	Alèmeth	0	12	0.0
123	Amacya	0	5	0.0
124	Amaleq	0	2	0.0
125	Amam	1	0	1.0
126	Amana	1	0	1.0
127	Amarya	0	11	0.0
128	Amaryahou	0	3	0.0
129	Amasa	0	13	0.0
130	Amasaï	0	8	0.0
131	Amashsaï	0	1	0.0
132	Amasias	0	39	0.0
133	Amasya	0	1	0.0
134	Ami	1	0	1.0
135	Aminadab	0	2	0.0
136	Amittaï	0	2	0.0
137	Amma	1	0	1.0
138	Ammihoud	0	35	0.0
139	Ammihour	0	1	0.0
140	Amminadav	0	4	0.0
141	Ammishaddaï	0	22	0.0
142	Ammizavad	0	1	0.0
143	Ammiël	0	33	0.0
144	Amnon	21	0	1.0
145	Amnôn	0	1	0.0
146	Amorites	0	86	0.0
147	Amos	0	1	0.0
148	Amoç	0	13	0.0
149	Amphipolis	0	1	0.0
150	Ampliatus	0	1	0.0
151	Amram	0	6	0.0
152	Amramite	0	39	0.0
153	Amraphel	2	0	1.0
154	Amçi	0	2	0.0
155	Améad	0	1	0.0
156	Amôn	0	18	0.0
157	Ana	2	31	0.06060606060606061
158	Anaharath	0	1	0.0
159	Anammélek	0	1	0.0
160	Ananya	0	5	0.0
161	Anaq	0	19	0.0
162	Anath	0	1	0.0
163	Anatoth	0	4	0.0
164	Anatotite	0	1	0.0
165	Anem	0	1	0.0
166	Aner	0	1	0.0
167	Aniam	1	0	1.0
168	Anim	0	2	0.0
169	Anne	0	4	0.0
170	Anouv	0	1	0.0
171	Antioche	0	1	0.0
172	Antipas	0	1	0.0
173	Antipatris	0	2	0.0
174	Antotiya	0	1	0.0
175	Anân	0	1	0.0
176	Appaïm	2	0	1.0
177	Aqqouv	0	10	0.0
178	Aquilas	0	2	0.0
179	Aqân	0	1	0.0
180	Ar	0	1	0.0
181	Ara	1	0	1.0
182	Arabah	0	3	0.0
183	Arabe	0	1	0.0
184	Arabie	0	3	0.0
185	Arad	0	5	0.0
186	Arah	0	4	0.0
187	Aram	6	116	0.04918032786885246
188	Aram-des-deux-Fleuves	0	5	0.0
189	Araméen	7	5	0.5833333333333334
190	Araméens de Beth-Rehov	0	1	0.0
191	Araméens de Damas	0	3	0.0
192	Araméens de Çova	0	3	0.0
193	Ararat	4	0	1.0
194	Arauna	7	0	1.0
195	Arav	0	1	0.0
196	Arbite	1	0	1.0
197	Archélaüs	0	1	0.0
198	Ard	2	0	1.0
199	Ardite	1	0	1.0
200	Ardôn	0	1	0.0
201	Argov	0	5	0.0
202	Aridata	0	1	0.0
203	Arieh	0	1	0.0
204	Ariel	4	0	1.0
205	Arimathée	0	1	0.0
206	Arisaï	2	0	1.0
207	Arkite	5	1	0.8333333333333334
208	Armoni	1	0	1.0
209	Arnân	0	1	0.0
210	Arnôn	0	23	0.0
211	Arod	1	0	1.0
212	Arodi	1	0	1.0
213	Arodites	1	0	1.0
214	Aroubboth	0	1	0.0
215	Arouma	0	1	0.0
216	Aroër	0	3	0.0
217	Arpad	6	0	1.0
218	Arpakshad	0	9	0.0
219	Arphaxad	0	1	0.0
220	Arqite	0	4	0.0
221	Artaxerxès	16	0	1.0
222	Arvad	2	0	1.0
223	Arvadite	0	2	0.0
224	Aryok	0	6	0.0
225	Arân	0	2	0.0
226	Arça	0	1	0.0
227	Aréli	3	0	1.0
228	Asa	49	3	0.9423076923076923
229	Asaf	0	41	0.0
230	Asahel	0	12	0.0
231	Asarhaddon	0	3	0.0
232	Asaréel	1	0	1.0
233	Asaréla	0	1	0.0
234	Asaya	0	1	0.0
235	Asenath	0	3	0.0
236	Ashbel	3	0	1.0
237	Ashbélite	1	0	1.0
238	Ashdod	0	15	0.0
239	Ashdodites	0	7	0.0
240	Ashehour	0	2	0.0
241	Asher	0	43	0.0
242	Ashima	1	0	1.0
243	Ashkénaz	2	1	0.6666666666666666
244	Ashna	2	0	1.0
245	Ashourites	0	2	0.0
246	Ashpénaz	1	0	1.0
247	Ashqelôn	0	12	0.0
248	Ashéra	7	0	1.0
249	Ashérites	0	1	0.0
250	Asie	0	1	0.0
251	Asiël	0	2	0.0
252	Asna	1	0	1.0
253	Asnappar	0	1	0.0
254	Aspata	0	1	0.0
255	Asriélites	1	0	1.0
256	Asriël	0	3	0.0
257	Assal	0	1	0.0
258	Assel	0	6	0.0
